question,answer,comments,instruction
塞爾維亜,"セルビア","セルビア : 塞爾維亜","Guess the Country's name"
土弥尼加,"ドミニカ共和国,ドミニカ国","ドミニカ共和国 : 土弥尼加
ドミニカ国 : 土弥尼加","Guess the Country's name from the first 4 Kanji"
尼加拉瓦,"ニカラグア","ニカラグア : 尼加拉瓦","Guess the Country's name"
尼喀拉瓜,"ニカラグア","ニカラグア : 尼喀拉瓜","Guess the Country's name"
尼喀拉瓦,"ニカラグア","ニカラグア : 尼喀拉瓦","Guess the Country's name"
巴基斯担,"パキスタン","パキスタン : 巴基斯担","Guess the Country's name"
巴勒斯旦,"パレスチナ","パレスチナ : 巴勒斯旦","Guess the Country's name"
伯剌西爾,"ブラジル","ブラジル : [伯剌西爾]","Guess the Country's name"
委内瑞拉,"ベネズエラ","ベネズエラ : [委内瑞拉]","Guess the Country's name"
玻利非亜,"ボリビア","ボリビア : 玻利非亜","Guess the Country's name"
洪都拉斯,"ホンジュラス","ホンジュラス : 洪都拉斯","Guess the Country's name"
馬達加斯,"マダガスカル","マダガスカル : 馬達加斯加","Guess the Country's name from the first 4 Kanji"
馬来西亜,"マレーシア","マレーシア : 馬来西亜","Guess the Country's name"
毛里求斯,"モーリシャス","モーリシャス : 毛里求斯","Guess the Country's name"
莫三鼻給,"モザンビーク","モザンビーク : 莫三鼻給","Guess the Country's name"
利比利亜,"リベリア","リベリア : 利比利亜","Guess the Country's name"
羅馬尼亜,"ルーマニア","ルーマニア : [羅馬尼亜]","Guess the Country's name"
阿富汗斯坦,"アフガニスタン","アフガニスタン : 阿富汗斯坦","Guess the Country's name"
越日於比亜,"エチオピア","エチオピア : 越日於比亜","Guess the Country's name"
濠太剌利亜,"オーストラリア","オーストラリア : 濠太剌利亜","Guess the Country's name"
馬達加斯加,"マダガスカル","マダガスカル : 馬達加斯加","Guess the Country's name"
