Question,Answer,Comment,Instruction,Render as
"且,||かつ||","also, furthermore","",Guess the meaning of the Kunyomi reading,Text
"渓,||ケイ||","valley","",Guess the meaning of the Onyomi reading,Text
"漠,||バク||","vague, obscure, deserd, wide","",Guess the meaning of the Onyomi reading,Text
"漸,||ゼン||","gradually advancing","",Guess the meaning of the Onyomi reading,Text
"濯,||タク||","wash, pour on, rinse","",Guess the meaning of the Onyomi reading,Text
"庶,||ショ||","all, illegitimate child","",Guess the meaning of the Onyomi reading,Text
"爵,||シャク||","peerage, court rank","",Guess the meaning of the Onyomi reading,Text
"献,||ケン,コン||","counter for drinks","",Guess the meaning of the Onyomi reading,Text
"猶,||ユウ||","further, furthermore, still, still more, yet, just like","",Guess the meaning of the Onyomi reading,Text
"珠,||シュ||","gem, jewel","",Guess the meaning of the Onyomi reading,Text
"璽,||ジ||","emperor's seal","",Guess the meaning of the Onyomi reading,Text
"瓶,||ビン||","bottle, vial, jar, flask","",Guess the meaning of the Onyomi reading,Text
"疫,||エキ,ヤク||","epidemic","",Guess the meaning of the Onyomi reading,Text
"症,||ショウ||","illness, condition of a patient, nature of a disease, symptoms","",Guess the meaning of the Onyomi reading,Text
"痢,||リ||","diarrhea","",Guess the meaning of the Onyomi reading,Text
"痴,||チ||","foolish","",Guess the meaning of the Onyomi reading,Text
"盲,||モウ||","blindness","",Guess the meaning of the Onyomi reading,Text
"睡,||スイ||","sleep, die","",Guess the meaning of the Onyomi reading,Text
"督,||トク||","command, lead, supervise, urge","",Guess the meaning of the Onyomi reading,Text
"硫,||リュウ||","sulphur","",Guess the meaning of the Onyomi reading,Text
"硝,||ショウ||","saltpeter","",Guess the meaning of the Onyomi reading,Text
"碁,||ゴ||","Japanese checkers","",Guess the meaning of the Onyomi reading,Text
"礁,||ショウ||","sunken rock","",Guess the meaning of the Onyomi reading,Text
"祥,||ショウ||","happiness","",Guess the meaning of the Onyomi reading,Text
"禅,||ゼン||","silent meditation, Buddhist sect originating in the twelfth century","",Guess the meaning of the Onyomi reading,Text
"禍,||カ||","calamity, misfortune","",Guess the meaning of the Onyomi reading,Text
"租,||ソ||","crop tax, borrowing","",Guess the meaning of the Onyomi reading,Text
"秩,||チツ||","salary, order","",Guess the meaning of the Onyomi reading,Text
"窃,||セツ||","steal","",Guess the meaning of the Onyomi reading,Text
"粧,||ショウ||","adorn (one's person)","",Guess the meaning of the Onyomi reading,Text
"糾,||キュウ||","ask, demand, question, investigate, ascertain, verify","",Guess the meaning of the Onyomi reading,Text
"索,||サク||","rope, cord","",Guess the meaning of the Onyomi reading,Text
"累,||ルイ||","involvement, trouble, tie up, pile up, continually","",Guess the meaning of the Onyomi reading,Text
"紳,||シン||","good belt, gentleman","",Guess the meaning of the Onyomi reading,Text
"繊,||セン||","fine, slender, thin kimono","",Guess the meaning of the Onyomi reading,Text
"缶,||カン||","can","",Guess the meaning of the Onyomi reading,Text
"罷,||ヒ||","end, stop, cease, subside, calm down, pass, die out, be extinguished, leave, go off, be abandoned","",Guess the meaning of the Onyomi reading,Text
"羅,||ラ||","silk gauze, thin silk","",Guess the meaning of the Onyomi reading,Text
"翁,||オウ||","old man, venerable","",Guess the meaning of the Onyomi reading,Text
"耗,||モウ,コウ||","decrease","",Guess the meaning of the Onyomi reading,Text
"粛,||シュク||","quietly, softly, solemnly","",Guess the meaning of the Onyomi reading,Text
"肖,||ショウ||","resemble","",Guess the meaning of the Onyomi reading,Text
"肢,||シ||","limbs, arms and legs","",Guess the meaning of the Onyomi reading,Text
"肯,||コウ||","agree to, consent, comply with, undertake","",Guess the meaning of the Onyomi reading,Text
"舶,||ハク||","ship","",Guess the meaning of the Onyomi reading,Text
"艇,||テイ||","small boat","",Guess the meaning of the Onyomi reading,Text
"艦,||カン||","warship","",Guess the meaning of the Onyomi reading,Text
"荘,||ソウ||","villa, inn","",Guess the meaning of the Onyomi reading,Text
"菌,||キン||","fungus, germ, bacteria","",Guess the meaning of the Onyomi reading,Text
"虜,||リョ||","captive, barbarian, low epithet for the enemy","",Guess the meaning of the Onyomi reading,Text
"衡,||コウ||","measuring rod, scales","",Guess the meaning of the Onyomi reading,Text
"衷,||チュウ||","heart, mind, inside","",Guess the meaning of the Onyomi reading,Text
"裕,||ユウ||","abundant, rich, fruitful, fertile","",Guess the meaning of the Onyomi reading,Text
"褐,||カツ||","woolen kimono","",Guess the meaning of the Onyomi reading,Text
"覇,||ハ||","supremacy, leadership, domination, hegemony, supreme ruler, champion","",Guess the meaning of the Onyomi reading,Text
"訟,||ショウ||","accuse","",Guess the meaning of the Onyomi reading,Text
"詐,||サ||","lie, falsify, deceive, pretend, deceive, cheat","",Guess the meaning of the Onyomi reading,Text
"謁,||エツ||","audience (with a ruler)","",Guess the meaning of the Onyomi reading,Text
"謄,||トウ||","copy","",Guess the meaning of the Onyomi reading,Text
"謙,||ケン||","humble oneself, condescend, be modest","",Guess the meaning of the Onyomi reading,Text
"譜,||フ||","music, note, staff, score, album, record, table, genealogy","",Guess the meaning of the Onyomi reading,Text
"貞,||テイ||","chastity, constancy, righteousness","",Guess the meaning of the Onyomi reading,Text
"賓,||ヒン||","guest","",Guess the meaning of the Onyomi reading,Text
"賠,||バイ||","indemnify","",Guess the meaning of the Onyomi reading,Text
"購,||コウ||","buy","",Guess the meaning of the Onyomi reading,Text
"践,||セン||","step on, trample on, stamp on, carry through, practice, appraise, set foot on, evade payment","",Guess the meaning of the Onyomi reading,Text
"轄,||カツ||","wedge","",Guess the meaning of the Onyomi reading,Text
"迅,||ジン||","fast","",Guess the meaning of the Onyomi reading,Text
"迭,||テツ||","alternation","",Guess the meaning of the Onyomi reading,Text
"逐,||チク||","drive away, chase, drive (cattle), follow, pursue (pleasure)","",Guess the meaning of the Onyomi reading,Text
"逓,||テイ||","in turn, sending (parcels) in feudal times","",Guess the meaning of the Onyomi reading,Text
"逸,||イツ||","idleness, leisure","",Guess the meaning of the Onyomi reading,Text
"遍,||ヘン||","times","",Guess the meaning of the Onyomi reading,Text
"遷,||セン||","move, change, shift, pass into, drift, soak in, be infected, catch (a cold), catch fire, spread","",Guess the meaning of the Onyomi reading,Text
"還,||カン||","return, take one's leave, come again, come around (time)","",Guess the meaning of the Onyomi reading,Text
"邸,||テイ||","mansion, residence","",Guess the meaning of the Onyomi reading,Text
"酪,||ラク||","whey, broth, fruit juice","",Guess the meaning of the Onyomi reading,Text
"酬,||シュウ||","reward, retribution","",Guess the meaning of the Onyomi reading,Text
"酷,||コク||","severity, cruelty","",Guess the meaning of the Onyomi reading,Text
"鉢,||ハチ,ハツ||","bowl, rice tub, pot, crown, brainpan","",Guess the meaning of the Onyomi reading,Text
"銃,||ジュウ||","gun, arms","",Guess the meaning of the Onyomi reading,Text
"銘,||メイ||","inscription, signature (of an artisan), precept, motto","",Guess the meaning of the Onyomi reading,Text
"閑,||カン||","leisure","",Guess the meaning of the Onyomi reading,Text
"閥,||バツ||","lineage, pedigree, clique, faction, clan","",Guess the meaning of the Onyomi reading,Text
"附,||フ||","give to, submit to, refer to, affix, attach, append","",Guess the meaning of the Onyomi reading,Text
"雰,||フン||","fog","",Guess the meaning of the Onyomi reading,Text
"韻,||イン||","rhyme, elegance, tone","",Guess the meaning of the Onyomi reading,Text
"頑,||ガン||","stubborn, foolish","",Guess the meaning of the Onyomi reading,Text
"頒,||ハン||","divide, separate, share with, distinguish between","",Guess the meaning of the Onyomi reading,Text
"頻,||ヒン||","repeat, occur repeatedly","",Guess the meaning of the Onyomi reading,Text
"顕,||ケン||","appear, emerge, come in sight, show up, be revealed, be discovered, be mentioned, become famous","",Guess the meaning of the Onyomi reading,Text
"駄,||ダ||","horse load, pack horse, sending by horses","",Guess the meaning of the Onyomi reading,Text
"騰,||トウ||","rising, price rise","",Guess the meaning of the Onyomi reading,Text
"融,||ユウ||","dissolve, melt","",Guess the meaning of the Onyomi reading,Text
"暁,||ギョウ||","dawn, daybrake, in the event (of)","Kunyomi: あかつき = dawn, daybrake, in the event (of)",Guess the meaning of the Onyomi reading,Text
"麻,||マ||","flax, hemp, ramie, jute, linen","Kunyomi: あさ = flax, hemp, ramie, jute, linen",Guess the meaning of the Onyomi reading,Text
"充,||ジュウ||","fill","Kunyomi: あてる = apply, place, put, hit (the mark), guess, succeed, expose to, sit (on a cushion), assign, allocate, call on (a pupil)",Guess the meaning of the Onyomi reading,Text
"侮,||ブ||","despise, make light of","Kunyomi: あなどる = despise, make light of",Guess the meaning of the Onyomi reading,Text
"尼,||ニ||","nun","Kunyomi: あま = nun",Guess the meaning of the Onyomi reading,Text
"泡,||ホウ||","bubble, foam, froth, scum, suds","Kunyomi: あわ = bubble, foam, froth, scum, suds",Guess the meaning of the Onyomi reading,Text
"併,||ヘイ||","get together, unite","Kunyomi: あわせる = get together, unite",Guess the meaning of the Onyomi reading,Text
"癒,||ユ||","heal, cure, quench (thirst), wreak (vengeance)","Kunyomi: いえる,いやす = heal, cure, quench (thirst), wreak (vengeance),recover, be healed",Guess the meaning of the Onyomi reading,Text
"憤,||フン||","resent, be indignant, become angry","Kunyomi: いきどおる = resent, be indignant, become angry",Guess the meaning of the Onyomi reading,Text
"悼,||トウ||","grieve over","Kunyomi: いたむ = grieve over",Guess the meaning of the Onyomi reading,Text
"偽,||ギ||","lie, falsity, deceive, pretend, cheat","Kunyomi: いつわる,にせ = lie, falsity, deceive, pretend, cheat, sham, counterfeit, forgery, imitation, false (prophet)",Guess the meaning of the Onyomi reading,Text
"挑,||チョウ||","challenge, contend for, make love to","Kunyomi: いどむ = challenge, contend for, make love to",Guess the meaning of the Onyomi reading,Text
"飢,||キ||","be hungry, starve","Kunyomi: うえる = be hungry, starve",Guess the meaning of the Onyomi reading,Text
"渦,||カ||","eddy, whirlpool, vortex","Kunyomi: うず = eddy, whirlpool, vortex",Guess the meaning of the Onyomi reading,Text
"疎,||ソ||","rough, sparseness, estrangement","Kunyomi: うとい,うとむ = neglect, shun, alienate,distant, estranged, disinterested, ignorant of",Guess the meaning of the Onyomi reading,Text
"恭,||キョウ||","respectful, reverent","Kunyomi: うやうやしい = respectful, reverent",Guess the meaning of the Onyomi reading,Text
"漆,||シツ||","lacquer, varnish","Kunyomi: うるし = lacquer, varnish",Guess the meaning of the Onyomi reading,Text
"愁,||シュウ||","grieve, lament, be anxious","Kunyomi: うれえる,うれい = grieve, lament, be anxious,sad, unhappy, gloomy",Guess the meaning of the Onyomi reading,Text
"江,||コウ||","inlet, bay","Kunyomi: え = inlet, bay",Guess the meaning of the Onyomi reading,Text
"襟,||キン||","neck, neckband, collar, lapel","Kunyomi: えり = neck, neckband, collar, lapel",Guess the meaning of the Onyomi reading,Text
"緒,||ショ,チョ||","beginning, inception, end","Kunyomi: お = cord, strap, thong, clog cord, string",Guess the meaning of the Onyomi reading,Text
"陥,||カン||","fall into, get into, slide into, lapse into, cave in, sink, fall (a fort)","Kunyomi: おちいる,おとしいれる = fall into, get into, slide into, lapse into, cave in, sink, fall (a fort), ensnare, tempt",Guess the meaning of the Onyomi reading,Text
"薫,||クン||","send forth fragrance, be scented, impregnate with","Kunyomi: かおる = smell, be fragrant",Guess the meaning of the Onyomi reading,Text
"懸,||ケン,ケ||","hang, set up (a ladder), cover, construct, install, sit down, sprinkle, pour on, put on, ring up, weigh, multiply, levy, pay (in installments), anchor, start (a machine), wind, turn on (radio), s","Kunyomi: かける,かかる = hang, set up (a ladder), cover, construct, install, sit down, sprinkle, pour on, put on, ring up, weigh, multiply, levy, pay (in installments), anchor, start (a machine), wind, turn on (radio), spend on, offer (prizes), put (under treatment), set (on fire),hang on, be suspended from, be caught, be trapped, be built, begin, arrive at, require, cost, play against, oppose, be splashed, weigh (a pound), be levied, (the instrument or tool) works, attack, fall on, is now showing at, consult, depend (on a son)",Guess the meaning of the Onyomi reading,Text
"傘,||サン||","umbrella, parasol","Kunyomi: かさ = umbrella, parasol",Guess the meaning of the Onyomi reading,Text
"稼,||カ||","work, earn money","Kunyomi: かせぐ = work, earn money",Guess the meaning of the Onyomi reading,Text
"偏,||ヘン||","side, left radical of a character, inclining","Kunyomi: かたよる = lean, incline, be biased",Guess the meaning of the Onyomi reading,Text
"窯,||ヨウ||","kiln, oven, furnace, stove","Kunyomi: かま = kiln, oven, furnace, stove",Guess the meaning of the Onyomi reading,Text
"醸,||ジョウ||","brew, cause, give rise to","Kunyomi: かもす = brew, cause, give rise to",Guess the meaning of the Onyomi reading,Text
"殻,||カク||","husk, hull, nutshell, castoff skin, tofu refuse, corpse, earth's crust","Kunyomi: から = husk, hull, nutshell, castoff skin, tofu refuse, corpse, earth's crust",Guess the meaning of the Onyomi reading,Text
"渇,||カツ||","thirst","Kunyomi: かわく = be thirsty, feel dry, dry up, be parched",Guess the meaning of the Onyomi reading,Text
"嫌,||ケン,ゲン||","dislike, hate, be unwilling (to do something),","Kunyomi: きらう,いや = hate, detest, dislike, disagreeable",Guess the meaning of the Onyomi reading,Text
"窮,||キュウ||","be destitute, suffer, be perplexed, be cornered","Kunyomi: きわめる,きわまる = investigate thoroly, carry to extremes, be in a dilemma",Guess the meaning of the Onyomi reading,Text
"茎,||ケイ||","stem, stalk","Kunyomi: くき = stem, stalk",Guess the meaning of the Onyomi reading,Text
"臭,||シュウ||","odor, savor, fragrance","Kunyomi: くさい,におう = illsmelling, suspiciouslooking,smell, odor, scent, stench, fragrance, aroma, perfume",Guess the meaning of the Onyomi reading,Text
"砕,||サイ||","break, smash, crush, pulverize, tax (one's ingenuity), explain simply","Kunyomi: くだく,くだける = break, smash, crush, pulverize, tax (one's ingenuity), explain simply,crumble, be crushed, go to pieces, become familiar",Guess the meaning of the Onyomi reading,Text
"唇,||シン||","lip","Kunyomi: くちびる = lip",Guess the meaning of the Onyomi reading,Text
"靴,||カ||","shoes","Kunyomi: くつ = shoes, boots",Guess the meaning of the Onyomi reading,Text
"酌,||シャク||","serving sake, the server","Kunyomi: くむ = draw (water), ladle, dip, scoop, pump, consider, sympathize with, drink, think",Guess the meaning of the Onyomi reading,Text
"琴,||キン||","harp","Kunyomi: こと = long horizontal Japanese harp, a koto, lyre",Guess the meaning of the Onyomi reading,Text
"拒,||キョ||","refuse, reject, decline, repudiate, resist, oppose, prevent, deny","Kunyomi: こばむ = refuse, reject, decline, repudiate, resist, oppose, prevent, deny",Guess the meaning of the Onyomi reading,Text
"懲,||チョウ||","chastise, punish, discipline","Kunyomi: こりる,こらす,こらしめる = chastise, punish, discipline,learn by experience, be disgusted with",Guess the meaning of the Onyomi reading,Text
"遮,||シャ||","interrupt, obstruct, intercept","Kunyomi: さえぎる = interrupt, obstruct, intercept",Guess the meaning of the Onyomi reading,Text
"捜,||ソウ||","search, look for, locate, glean","Kunyomi: さがす = search, look for, locate, glean",Guess the meaning of the Onyomi reading,Text
"挿,||ソウ||","insert, put in, graft (a branch), wear (a sword), carry (in the belt)","Kunyomi: さす = insert, put in, graft (a branch), wear (a sword), carry (in the belt)",Guess the meaning of the Onyomi reading,Text
"諭,||ユ||","admonish, charge, remonstrate with, counsel, persuade, warn, make known to","Kunyomi: さとす = admonish, charge, remonstrate with, counsel, persuade, warn, make known to",Guess the meaning of the Onyomi reading,Text
"猿,||エン||","monkey","Kunyomi: さる = monkey, ape, minic, sly person, door bolt, fastener",Guess the meaning of the Onyomi reading,Text
"忍,||ニン||","bear, endure, put up with, hide (oneself)","Kunyomi: しのぶ,しのばせる = bear, endure, put up with, hide (oneself),conceal, secrete",Guess the meaning of the Onyomi reading,Text
"渋,||ジュウ||","hesitate, be reluctant, have loose painful bowel movements","Kunyomi: しぶ,しぶい,しぶる = hesitate, be reluctant, have loose painful bowel movements,puckery taste (of persimmons), sobriety, quietness,puckery, astringent, sullen, quiet, sober, tasteful (in dress)",Guess the meaning of the Onyomi reading,Text
"霜,||ソウ||","frost","Kunyomi: しも = frost",Guess the meaning of the Onyomi reading,Text
"汁,||ジュウ||","juice","Kunyomi: しる = juice, sap, soup, broth, gravy, pus",Guess the meaning of the Onyomi reading,Text
"酢,||サク||","vinegar","Kunyomi: す = vinegar",Guess the meaning of the Onyomi reading,Text
"鈴,||レイ,リン||","bell, hand bell, buzzer","Kunyomi: すず = bell",Guess the meaning of the Onyomi reading,Text
"涼,||リョウ||","cool","Kunyomi: すずしい,すずむ = cool oneself, enjoy the evening air,cool, refreshing",Guess the meaning of the Onyomi reading,Text
"薦,||セン||","recommendation, advice, encouragement","Kunyomi: すすめる = recommend, advise, encourage, offer (wine)",Guess the meaning of the Onyomi reading,Text
"廃,||ハイ||","obsolescence, cessation, discarding","Kunyomi: すたれる,すたる = become useless, get out of date, die out, be abolished, decline (in prosperity)",Guess the meaning of the Onyomi reading,Text
"隅,||グウ||","corner","Kunyomi: すみ = corner, nook",Guess the meaning of the Onyomi reading,Text
"唆,||サ||","tempt, seduce, instigate, promote","Kunyomi: そそのかす = tempt, seduce, instigate, promote",Guess the meaning of the Onyomi reading,Text
"堪,||カン||","endure, support, withstand, resist, brave, weather, be fit for, be equal to","Kunyomi: たえる = endure, support, withstand, resist, brave, weather, be fit for, be equal to",Guess the meaning of the Onyomi reading,Text
"竜,||リュウ||","dragon, imperial","Kunyomi: たつ = dragon",Guess the meaning of the Onyomi reading,Text
"賜,||シ||","deign to, grant, give, bestow on, honor with","Kunyomi: たまわる = deign to, grant, give, bestow on, honor with",Guess the meaning of the Onyomi reading,Text
"矯,||キョウ||","straighten, correct, reform, cure, control (one's feelings), pretend, falsify, aim","Kunyomi: ためる = straighten, correct, reform, cure, control (one's feelings), pretend, falsify, aim",Guess the meaning of the Onyomi reading,Text
"誓,||セイ||","swear, plegde, vow","Kunyomi: ちかう = swear, plegde, vow",Guess the meaning of the Onyomi reading,Text
"津,||シン||","port, harbor, ferry","Kunyomi: つ = port, harbor, ferry",Guess the meaning of the Onyomi reading,Text
"償,||ショウ||","make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for","Kunyomi: つぐなう = make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for",Guess the meaning of the Onyomi reading,Text
"拙,||セツ||","clumsy, unskillful","Kunyomi: つたない = clumsy, bungling, unskillful",Guess the meaning of the Onyomi reading,Text
"培,||バイ||","cultivate, foster","Kunyomi: つちかう = cultivate, foster",Guess the meaning of the Onyomi reading,Text
"筒,||トウ||","pipette, tube","Kunyomi: つつ = pipe, tube, case, gun barrel, sleeve, well curb",Guess the meaning of the Onyomi reading,Text
"謹,||キン||","be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate","Kunyomi: つつしむ = be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate",Guess the meaning of the Onyomi reading,Text
"紡,||ボウ||","spin, make yarn","Kunyomi: つむぐ = spin, make yarn",Guess the meaning of the Onyomi reading,Text
"釣,||チョウ||","angle, fish, catch, decoy, allure","Kunyomi: つる = angle, fish, catch, decoy, allure",Guess the meaning of the Onyomi reading,Text
"弦,||ゲン||","bowstring, chord (in geometry), hypotenuse, crescent (moon), bowstring, string (of an instrument)","Kunyomi: つる = bowstring, teakettle handle made of bamboo or vines",Guess the meaning of the Onyomi reading,Text
"扉,||ヒ||","door, title page, front page","Kunyomi: とびら = door, title page, front page",Guess the meaning of the Onyomi reading,Text
"弔,||チョウ||","mourning","Kunyomi: とむらう = mourn for, hold a memorial service for, condole",Guess the meaning of the Onyomi reading,Text
"泥,||デイ||","mud, mire","Kunyomi: どろ = mud, mire, dirt, slush, disgrace",Guess the meaning of the Onyomi reading,Text
"眺,||チョウ||","watch, look at, see, scrutinize","Kunyomi: ながめる = watch, look at, see, scrutinize",Guess the meaning of the Onyomi reading,Text
"猫,||ビョウ||","cat","Kunyomi: ねこ = cat",Guess the meaning of the Onyomi reading,Text
"懇,||コン||","kind, courteous, hospitable, cordial","Kunyomi: ねんごろ = kind, courteous, hospitable, cordial",Guess the meaning of the Onyomi reading,Text
"刃,||ジン||","blade, sword, cutting tool","Kunyomi: は = blade, edge",Guess the meaning of the Onyomi reading,Text
"履,||リ||","trample on, stamp on, carry through, practice, appraise, set foot on, evade payment, step on","Kunyomi: はく = put on (the feet)",Guess the meaning of the Onyomi reading,Text
"挟,||キョウ||","put between, hold between, insert, jam into, nip, interpose","Kunyomi: はさむ,はさまる = put between, hold between, insert, jam into, nip, interpose, get between, be caught in, be jammed in, be hemmed in, be sandwiched between, be pinned under, lie between",Guess the meaning of the Onyomi reading,Text
"甚,||ジン||","exceedingly","Kunyomi: はなはだ,はなはだしい = very, greatly, exceedingly,extreme, excessive, intense, severe, serious",Guess the meaning of the Onyomi reading,Text
"懐,||カイ||","heart, feeling","Kunyomi: ふところ,なつかしい,なつかしむ,なつく,なつける = bosom, breast, heart, pocket, purse, dear, longedfor, yearning for, yearn for, miss someone, win over, win another’s heart, become attached to",Guess the meaning of the Onyomi reading,Text
"蛇,||ジャ,ダ||","snake, serpent, hard drinker","Kunyomi: へび = snake",Guess the meaning of the Onyomi reading,Text
"蛍,||ケイ||","firefly","Kunyomi: ほたる = firefly",Guess the meaning of the Onyomi reading,Text
"褒,||ホウ||","praise, extol","Kunyomi: ほめる = praise, commend",Guess the meaning of the Onyomi reading,Text
"洞,||ドウ||","cavity","Kunyomi: ほら = cave, den, excavation",Guess the meaning of the Onyomi reading,Text
"賄,||ワイ||","board, supply, finance","Kunyomi: まかなう = board, supply, finance",Guess the meaning of the Onyomi reading,Text
"升,||ショウ||","1.8 liter","Kunyomi: ます = a measuring box",Guess the meaning of the Onyomi reading,Text
"繭,||ケン||","cocoon","Kunyomi: まゆ = cocoon",Guess the meaning of the Onyomi reading,Text
"磨,||マ||","polish, scour, shine (shoes), brush (teeth), improve (skill), cultivate (character), train (the mind)","Kunyomi: みがく = polish, scour, shine (shoes), brush (teeth), improve (skill), cultivate (character), train (the mind)",Guess the meaning of the Onyomi reading,Text
"詔,||ショウ||","imperial edict","Kunyomi: みことのり = imperial edict, decree",Guess the meaning of the Onyomi reading,Text
"溝,||コウ||","ditch, gutter, sewer, drain","Kunyomi: みぞ = ditch, gutter, drain, groove, slot, gulf, gap",Guess the meaning of the Onyomi reading,Text
"貢,||コウ,ク||","tribute","Kunyomi: みつぐ = support, finance",Guess the meaning of the Onyomi reading,Text
"醜,||シュウ||","ugliness, uncleanness, shame","Kunyomi: みにくい = badlooking, ugly, unsightly, indecent, disgraceful",Guess the meaning of the Onyomi reading,Text
"診,||シン||","seeing, diagnosing","Kunyomi: みる = diagnose, examine",Guess the meaning of the Onyomi reading,Text
"棟,||トウ||","ridge, ridgepole, counter for buildings","Kunyomi: むね,むな = ridge, ridgepole, counter for buildings",Guess the meaning of the Onyomi reading,Text
"藻,||ソウ||","duckweed, seaweed","Kunyomi: も = duckweed, seaweed",Guess the meaning of the Onyomi reading,Text
"喪,||ソウ||","mourning","Kunyomi: も = mourning",Guess the meaning of the Onyomi reading,Text
"戻,||レイ||","return, turn back, revert to, resume, return to, be returned, go backward","Kunyomi: もどす,もどる = return, turn back, revert to, resume, return to, be returned, go backward,restore, turn back (a clock), reject, vomit",Guess the meaning of the Onyomi reading,Text
"柳,||リュウ||","willow","Kunyomi: やなぎ = willow",Guess the meaning of the Onyomi reading,Text
"軟,||ナン||","soft","Kunyomi: やわらか,やわらかい = soft",Guess the meaning of the Onyomi reading,Text
"逝,||セイ||","die, pass away","Kunyomi: ゆく,いく = die, pass away",Guess the meaning of the Onyomi reading,Text
"宵,||ショウ||","evening, early night hours","Kunyomi: よい = evening, early night hours",Guess the meaning of the Onyomi reading,Text
"沸,||フツ||","boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched","Kunyomi: わく,わかす = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched,heat up (the bath), melt",Guess the meaning of the Onyomi reading,Text
"患,||カン||","disease","Kunyomi: わずらう = be ill, suffer from, be afficted",Guess the meaning of the Onyomi reading,Text
"煩,||ハン,ボン||","worry, trouble","Kunyomi: わずらう,わずらわす = be ill, worry, be afflicted, be in pain, be troubled,trouble, keep (someone) busy, disturb, annoy",Guess the meaning of the Onyomi reading,Text
"also, furthermore [**Kun**]","且,かつ","",Guess the romaji equivalent of the Kunyomi reading,Text
"area about 36 square feet [**Kun**]","坪,つぼ","",Guess the romaji equivalent of the Kunyomi reading,Text
"but, however, excepting that [**Kun**]","但,ただし","",Guess the romaji equivalent of the Kunyomi reading,Text
"cape, spit, promontory [**Kun**]","岬,みさき","",Guess the romaji equivalent of the Kunyomi reading,Text
"creek, inlet, bay, gulf, beach, seacoast [**Kun**]","浦,うら","",Guess the romaji equivalent of the Kunyomi reading,Text
"cryptomeria, sugi, Japan cedar [**Kun**]","杉,すぎ","",Guess the romaji equivalent of the Kunyomi reading,Text
"fear, anxiety, concern, uneasiness [**Kun**]","虞,おそれ","",Guess the romaji equivalent of the Kunyomi reading,Text
"fence, hedge, wall [**Kun**]","垣,かき","",Guess the romaji equivalent of the Kunyomi reading,Text
"frame, framework, reel, spindle, spool, rim, box (in printing), limit [**Kun**]","枠,わく","",Guess the romaji equivalent of the Kunyomi reading,Text
"moat, canal, ditch [**Kun**]","堀,ほり","",Guess the romaji equivalent of the Kunyomi reading,Text
"mosquito [**Kun**]","蚊,か","",Guess the romaji equivalent of the Kunyomi reading,Text
"mound, hillock, tumulus [**Kun**]","塚,つか","",Guess the romaji equivalent of the Kunyomi reading,Text
"ridge (in a field), furrow, rib or cord (in cloth) [**Kun**]","畝,うね","",Guess the romaji equivalent of the Kunyomi reading,Text
"set (a table), lay (a foundation), place (a gun), install, equip, appoint (to a position),squat down, sit down, (eyes) are fixed on [**Kun**]","据,すえる,すわる","",Guess the romaji equivalent of the Kunyomi reading,Text
"shelf, ledge, rack, mount, mantelpiece, trellis, lattice [**Kun**]","棚,たな","",Guess the romaji equivalent of the Kunyomi reading,Text
"skin, body, grain, texture, disposition [**Kun**]","肌,はだ","",Guess the romaji equivalent of the Kunyomi reading,Text
"soak, moisten, steep, pickle, preserve, add (salt) to,be soaked in, be submerged, be flooded, take a dip, be seasoned [**Kun**]","漬,つける,つかる","",Guess the romaji equivalent of the Kunyomi reading,Text
"monkey, ape, minic, sly person, door bolt, fastener [**Kun**]","猿,さる","Onyomi: エン = monkey",Guess the romaji equivalent of the Kunyomi reading,Text
"eddy, whirlpool, vortex [**Kun**]","渦,うず","Onyomi: カ = eddy, whirlpool, vortex",Guess the romaji equivalent of the Kunyomi reading,Text
"shoes, boots [**Kun**]","靴,くつ","Onyomi: カ = shoes",Guess the romaji equivalent of the Kunyomi reading,Text
"work, earn money [**Kun**]","稼,かせぐ","Onyomi: カ = work, earn money",Guess the romaji equivalent of the Kunyomi reading,Text
"bosom, breast, heart, pocket, purse, dear, longedfor, yearning for, yearn for, miss someone, win over, win another’s heart, become attached to [**Kun**]","懐,ふところ,なつかしい,なつかしむ,なつく,なつける","Onyomi: カイ = heart, feeling",Guess the romaji equivalent of the Kunyomi reading,Text
"husk, hull, nutshell, castoff skin, tofu refuse, corpse, earth's crust [**Kun**]","殻,から","Onyomi: カク = husk, hull, nutshell, castoff skin, tofu refuse, corpse, earth's crust",Guess the romaji equivalent of the Kunyomi reading,Text
"be thirsty, feel dry, dry up, be parched [**Kun**]","渇,かわく","Onyomi: カツ = thirst",Guess the romaji equivalent of the Kunyomi reading,Text
"be ill, suffer from, be afficted [**Kun**]","患,わずらう","Onyomi: カン = disease",Guess the romaji equivalent of the Kunyomi reading,Text
"endure, support, withstand, resist, brave, weather, be fit for, be equal to [**Kun**]","堪,たえる","Onyomi: カン = endure, support, withstand, resist, brave, weather, be fit for, be equal to",Guess the romaji equivalent of the Kunyomi reading,Text
