Question,Answer,Comment,Instruction,Render as
"串,||くし||","spit, skewer","",Guess the meaning of the Kunyomi reading,Text
"湧,||ユウ||","boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched","Kunyomi: わく = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched",Guess the meaning of the Onyomi reading,Text
"僅,||キン||","a little, a small quantity","Kunyomi: わずか = a little, a small quantity",Guess the meaning of the Onyomi reading,Text
" [**Kun**]","頬,ほお","",Guess the romaji equivalent of the Kunyomi reading,Text
" [**Kun**]","鶴,つる","",Guess the romaji equivalent of the Kunyomi reading,Text
"address (a letter) [**Kun**]","宛,あてる","",Guess the romaji equivalent of the Kunyomi reading,Text
"all the more, increasingly [**Kun**]","弥,や","",Guess the romaji equivalent of the Kunyomi reading,Text
"ask, request, invite, pray for, beg, solicit [**Kun**]","乞,こう","",Guess the romaji equivalent of the Kunyomi reading,Text
"be fragrant, smell, stink, glow, be bright [**Kun**]","匂,におう","",Guess the romaji equivalent of the Kunyomi reading,Text
"beam, girder, spar, yard, unit or column(in figures) [**Kun**]","桁,けた","",Guess the romaji equivalent of the Kunyomi reading,Text
"bowl, bowl of food [**Kun**]","丼,どんぶり,どん","",Guess the romaji equivalent of the Kunyomi reading,Text
"buttocks, hips, rear or back of a person, bottom(of a kettle), tail end, tag end [**Kun**]","尻,しり","",Guess the romaji equivalent of the Kunyomi reading,Text
"chopsticks [**Kun**]","箸,はし","",Guess the romaji equivalent of the Kunyomi reading,Text
"cuff(of trousers), hem (of a skirt), foot (of a mountain) [**Kun**]","裾,すそ","",Guess the romaji equivalent of the Kunyomi reading,Text
"darkness, grief, gloom, disorder, black market [**Kun**]","闇,やみ","",Guess the romaji equivalent of the Kunyomi reading,Text
"elbow, arm (of something) [**Kun**]","肘,ひじ","",Guess the romaji equivalent of the Kunyomi reading,Text
"horse, colt, pony, chessman, frame (of a film), bridge (of a violin) [**Kun**]","駒,こま","",Guess the romaji equivalent of the Kunyomi reading,Text
"I [**Kun**]","俺,おれ","",Guess the romaji equivalent of the Kunyomi reading,Text
"kettle, cauldron, iron pot, bioler [**Kun**]","釜,かま","",Guess the romaji equivalent of the Kunyomi reading,Text
"knee, lap [**Kun**]","膝,ひざ","",Guess the romaji equivalent of the Kunyomi reading,Text
"nail, claw, talon, hoof, hook, catch, plectrum [**Kun**]","爪,つめ,つま","",Guess the romaji equivalent of the Kunyomi reading,Text
"pan, pot, kettle [**Kun**]","鍋,なべ","",Guess the romaji equivalent of the Kunyomi reading,Text
"persimmon [**Kun**]","柿,かき","",Guess the romaji equivalent of the Kunyomi reading,Text
"pillow [**Kun**]","枕,まくら","",Guess the romaji equivalent of the Kunyomi reading,Text
"rainbow [**Kun**]","虹,にじ","",Guess the romaji equivalent of the Kunyomi reading,Text
"riddle, puzzle, enigma, hint, tip [**Kun**]","謎,なぞ","",Guess the romaji equivalent of the Kunyomi reading,Text
"sickle, scythe, trick [**Kun**]","鎌,かま","",Guess the romaji equivalent of the Kunyomi reading,Text
"songs accompanied by the samisen [**Kun**]","唄,うた","",Guess the romaji equivalent of the Kunyomi reading,Text
"spit, sekwer [**Kun**]","串,くし","",Guess the romaji equivalent of the Kunyomi reading,Text
"storm, tempest [**Kun**]","嵐,あらし","",Guess the romaji equivalent of the Kunyomi reading,Text
"the other way, another place, side, armpit, flank, supporting role [**Kun**]","脇,わき","",Guess the romaji equivalent of the Kunyomi reading,Text
"time, period,about (regarding time) [**Kun**]","頃,ころ","",Guess the romaji equivalent of the Kunyomi reading,Text
"who [**Kun**]","誰,だれ","",Guess the romaji equivalent of the Kunyomi reading,Text
"fear, be overawed, be apprehensive [**Kun**]","畏,おそれる","Onyomi: イ = fear, be overawed, be apprehensive",Guess the romaji equivalent of the Kunyomi reading,Text
"wither, droop, weaken, be paralyzed, be lame [**Kun**]","萎,なえる","Onyomi: イ = wither, droop, weaken, be paralyzed, be lame",Guess the romaji equivalent of the Kunyomi reading,Text
"licentious, indecent, lewd [**Kun**]","淫,みだら","Onyomi: イン = lewdness, licentiousness",Guess the romaji equivalent of the Kunyomi reading,Text
"gloss, luster, glaze, polish, brightness, charm, romance, love [**Kun**]","艶,つや","Onyomi: エン = luster, glaze, polish, charm",Guess the romaji equivalent of the Kunyomi reading,Text
"tile [**Kun**]","瓦,かわら","Onyomi: ガ = tile",Guess the romaji equivalent of the Kunyomi reading,Text
"tusk, fang, canine tooth, eyetooth [**Kun**]","牙,きば","Onyomi: ガ,ゲ = tusk, fang, canine tooth, eyetooth",Guess the romaji equivalent of the Kunyomi reading,Text
"cliff, bluff, precipice [**Kun**]","崖,がけ","Onyomi: ガイ = cliff, bluff, precipice",Guess the romaji equivalent of the Kunyomi reading,Text
"cover, lid, flap, hood [**Kun**]","蓋,ふた","Onyomi: ガイ = cover",Guess the romaji equivalent of the Kunyomi reading,Text
"be smashed, be destroyed, collapse, be defaced(type), be ruined, be worn down, crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down [**Kun**]","潰,つぶす,つぶれる","Onyomi: カイ = crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down",Guess the romaji equivalent of the Kunyomi reading,Text
"jaw, chin [**Kun**]","顎,あご","Onyomi: ガク = jaw",Guess the romaji equivalent of the Kunyomi reading,Text
"arrowroot, arrowroot starch [**Kun**]","葛,くず","Onyomi: カツ = arrowroot, a strongfiber vine",Guess the romaji equivalent of the Kunyomi reading,Text
"turtle, tortoise [**Kun**]","亀,かめ","Onyomi: キ = turtle, tortoise",Guess the romaji equivalent of the Kunyomi reading,Text
"mortar, hand mill [**Kun**]","臼,うす","Onyomi: キュウ = mortar, hand mill",Guess the romaji equivalent of the Kunyomi reading,Text
"smell, sniff, scent [**Kun**]","嗅,かぐ","Onyomi: キュウ = smell, sniff, scent",Guess the romaji equivalent of the Kunyomi reading,Text
"a little, a small quantity [**Kun**]","僅,わずか","Onyomi: キン = a little, a small quantity",Guess the romaji equivalent of the Kunyomi reading,Text
"brocade, fine dress, honors [**Kun**]","錦,にしき","Onyomi: キン = brocade, fine dress, honors",Guess the romaji equivalent of the Kunyomi reading,Text
"go, come, call, visit, visit a shrine [**Kun**]","詣,もうでる","Onyomi: ケイ = visit a temple or shrine",Guess the romaji equivalent of the Kunyomi reading,Text
"time, leisure, gap, crack, room, space, chance, unpreparedness, unguarded moment [**Kun**]","隙,すき","Onyomi: ゲキ = crevice, fissure, chink, discord, opportunity",Guess the romaji equivalent of the Kunyomi reading,Text
"key [**Kun**]","鍵,かぎ","Onyomi: ケン = (piano)key",Guess the romaji equivalent of the Kunyomi reading,Text
"fist [**Kun**]","拳,こぶし","Onyomi: ケン = fist",Guess the romaji equivalent of the Kunyomi reading,Text
"crotch, thigh, groin [**Kun**]","股,また","Onyomi: コ = thigh, crotch, yarn, strand, ply",Guess the romaji equivalent of the Kunyomi reading,Text
"tiger, drunkard [**Kun**]","虎,とら","Onyomi: コ = tiger, drunkard",Guess the romaji equivalent of the Kunyomi reading,Text
"throat, voice [**Kun**]","喉,のど","Onyomi: コウ = throat, voice",Guess the romaji equivalent of the Kunyomi reading,Text
"mark, footprint [**Kun**]","痕,あと","Onyomi: コン = mark, footprint",Guess the romaji equivalent of the Kunyomi reading,Text
"close, shut, cover, block, wall up obstruct, fill, occupy, be closed, be blocked, be obstructed, be clogged, be shut, be occupied [**Kun**]","塞,ふさぐ,ふさがる","Onyomi: サイ,ソク = close, shut, cover, block, wall up obstruct, fill, occupy",Guess the romaji equivalent of the Kunyomi reading,Text
"kill, cut [**Kun**]","斬,きる","Onyomi: ザン = beheading",Guess the romaji equivalent of the Kunyomi reading,Text
"feed, food, bait, prey, tempting profit [**Kun**]","餌,えさ,え","Onyomi: ジ = food",Guess the romaji equivalent of the Kunyomi reading,Text
"scold, reprove [**Kun**]","叱,しかる","Onyomi: シツ = scold, reprove",Guess the romaji equivalent of the Kunyomi reading,Text
"curse [**Kun**]","呪,のろう","Onyomi: ジュ = spell, curse, incantation",Guess the romaji equivalent of the Kunyomi reading,Text
"swell, become swollen, inflame, cause to swell [**Kun**]","腫,はれる,はらす","Onyomi: シュ = tumor, swelling",Guess the romaji equivalent of the Kunyomi reading,Text
"kick [**Kun**]","蹴,ける","Onyomi: シュウ = kick",Guess the romaji equivalent of the Kunyomi reading,Text
"sleeve, sleeve pocket, wing(of a building), extension(of a table) [**Kun**]","袖,そで","Onyomi: シュウ = sleeve, sleeve pocket, wing(of a building), extension(of a table)",Guess the romaji equivalent of the Kunyomi reading,Text
"yearn after, long for, thirst for, aspire to, admire, adore [**Kun**]","憧,あこがれる","Onyomi: ショウ = yearn after, long for, thirst for, aspire to, admire, adore",Guess the romaji equivalent of the Kunyomi reading,Text
"wipe, mop, swab [**Kun**]","拭,ふく,ぬぐう","Onyomi: ショク = wipe, mop, swab",Guess the romaji equivalent of the Kunyomi reading,Text
"be envious, be jealous, covet, enviable [**Kun**]","羨,うらやむ,うらやましい","Onyomi: セン = be envious, be jealous, covet",Guess the romaji equivalent of the Kunyomi reading,Text
"broil, parch, roast, fire (tea), boil down (in oil) [**Kun**]","煎,いる","Onyomi: セン = broil, parch, roast, fire (tea), boil down (in oil)",Guess the romaji equivalent of the Kunyomi reading,Text
"aim at, sight, watch for, shadow, stalk [**Kun**]","狙,ねらう","Onyomi: ソ = aim at, sight, watch for, shadow, stalk",Guess the romaji equivalent of the Kunyomi reading,Text
"go upstream, retrace the past [**Kun**]","遡,さかのぼる","Onyomi: ソ = go upstream, retrace the past",Guess the romaji equivalent of the Kunyomi reading,Text
"get thin [**Kun**]","痩,やせる","Onyomi: ソウ = get thin",Guess the romaji equivalent of the Kunyomi reading,Text
"refreshing, bracing, clear, resonant, sweet(voice), fluent [**Kun**]","爽,さわやか","Onyomi: ソウ = refreshing, bracing, clear, resonant, sweet(voice), fluent",Guess the romaji equivalent of the Kunyomi reading,Text
"catch, arrest, capture [**Kun**]","捉,とらえる","Onyomi: ソク = catch, arrest, capture",Guess the romaji equivalent of the Kunyomi reading,Text
"sputum, saliva [**Kun**]","唾,つば","Onyomi: ダ = sputum, saliva",Guess the romaji equivalent of the Kunyomi reading,Text
"be rent, be ripped, unravel, run, begin to open, smile [**Kun**]","綻,ほころびる","Onyomi: タン = be rent, be ripped, unravel, run, begin to open, smile",Guess the romaji equivalent of the Kunyomi reading,Text
"stick, paste, affix, post, paper, apply (tile, etc.) [**Kun**]","貼,はる","Onyomi: チョウ = counter for medicine packages",Guess the romaji equivalent of the Kunyomi reading,Text
"rudicule, insult [**Kun**]","嘲,あざける","Onyomi: チョウ = rudicule, insult",Guess the romaji equivalent of the Kunyomi reading,Text
"abandon, give up, resign to, be reconciled to [**Kun**]","諦,あきらめる","Onyomi: テイ = abandon, give up, resign to, be reconciled to",Guess the romaji equivalent of the Kunyomi reading,Text
"drown, indulge in [**Kun**]","溺,おぼれる","Onyomi: デキ = drown, indulge in",Guess the romaji equivalent of the Kunyomi reading,Text
"be jealous of, be envious of [**Kun**]","妬,ねたむ","Onyomi: ト = be jealous of, be envious of",Guess the romaji equivalent of the Kunyomi reading,Text
"wager, place a bet [**Kun**]","賭,かける","Onyomi: ト = gambling",Guess the romaji equivalent of the Kunyomi reading,Text
"pupil of the eye [**Kun**]","瞳,ひとみ","Onyomi: ドウ = pupil of the eye",Guess the romaji equivalent of the Kunyomi reading,Text
"wisteria [**Kun**]","藤,ふじ","Onyomi: トウ = wisteria",Guess the romaji equivalent of the Kunyomi reading,Text
"covet, indulge in [**Kun**]","貪,むさぼる","Onyomi: ドン = coveting",Guess the romaji equivalent of the Kunyomi reading,Text
"abuse, insult, speak ill of [**Kun**]","罵,ののしる","Onyomi: バ = abuse, insult, speak ill of",Guess the romaji equivalent of the Kunyomi reading,Text
"come off, peel off, be worn off, fade, discolor, rip off, strip off, skin, flay, disrobe, deprive of [**Kun**]","剥,はがす,はぐ,はがれる,はげる","Onyomi: ハク = come off, peel off, be worn off, fade, discolor",Guess the romaji equivalent of the Kunyomi reading,Text
"eyebrow [**Kun**]","眉,まゆ","Onyomi: ビ,ミ = eyebrow",Guess the romaji equivalent of the Kunyomi reading,Text
"rice cake [**Kun**]","餅,もち","Onyomi: ヘイ = rice cake",Guess the romaji equivalent of the Kunyomi reading,Text
"despise, ridicule [**Kun**]","蔑,さげすむ","Onyomi: ベツ = ignore, despise, neglect, ridicule",Guess the romaji equivalent of the Kunyomi reading,Text
"bee, wasp, hornet [**Kun**]","蜂,はち","Onyomi: ホウ = bee, wasp, hornet",Guess the romaji equivalent of the Kunyomi reading,Text
"boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched [**Kun**]","湧,わく","Onyomi: ユウ = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched",Guess the romaji equivalent of the Kunyomi reading,Text
"attractive, bewitching, calamity [**Kun**]","妖,あやしい","Onyomi: ヨウ = attractive, bewitching, calamity",Guess the romaji equivalent of the Kunyomi reading,Text
"indigo (blue), indigo plant [**Kun**]","藍,あい","Onyomi: ラン = indigo (blue), indigo plant",Guess the romaji equivalent of the Kunyomi reading,Text
"cage, coop, basket, seclude oneself, be confined in, be implied, be stuffy, be filled with (smoke) [**Kun**]","籠,かご,こもる","Onyomi: ロウ = be crowed, requiring (a lot of work)",Guess the romaji equivalent of the Kunyomi reading,Text
"play, take pleasure in, play (on an instrument), play with, make sport of, trifle with (affections) [**Kun**]","弄,もてあそぶ","Onyomi: ロウ = play with, trifle with",Guess the romaji equivalent of the Kunyomi reading,Text
"foot of a mountain [**Kun**]","麓,ふもと","Onyomi: ロク = foot of a mountain",Guess the romaji equivalent of the Kunyomi reading,Text
"awake, be disillusioned, sober up [**On**]","醒,セイ","",Guess the romaji equivalent of the Onyomi reading,Text
"backbone [**On**]","呂,ロ","",Guess the romaji equivalent of the Onyomi reading,Text
"ball, bowl, sphere, bulb [**On**]","璧,ヘキ","",Guess the romaji equivalent of the Onyomi reading,Text
"be choked, be smothered [**On**]","咽,イン","",Guess the romaji equivalent of the Onyomi reading,Text
"be crowned with, wear, live under (a ruler), install ( a president), receive, accept, buy, take, eat, drink (humble) [**On**]","戴,タイ","",Guess the romaji equivalent of the Onyomi reading,Text
"be imminent [**On**]","拶,サツ","",Guess the romaji equivalent of the Onyomi reading,Text
"be jealous, envy [**On**]","嫉,シツ","",Guess the romaji equivalent of the Onyomi reading,Text
"be proud [**On**]","傲,ゴウ","",Guess the romaji equivalent of the Onyomi reading,Text
"bear a grudge, show resentment, be jealous [**On**]","怨,エン,オン","",Guess the romaji equivalent of the Onyomi reading,Text
"bitter [**On**]","辣,ラツ","",Guess the romaji equivalent of the Onyomi reading,Text
"boil, carbuncle [**On**]","瘍,ヨウ","",Guess the romaji equivalent of the Onyomi reading,Text
"bone, body [**On**]","骸,ガイ","",Guess the romaji equivalent of the Onyomi reading,Text
"break, destroy, demolish [**On**]","毀,キ","",Guess the romaji equivalent of the Onyomi reading,Text
"bribe [**On**]","賂,ロ","",Guess the romaji equivalent of the Onyomi reading,Text
"by all means, necessarily [**On**]","須,ス","",Guess the romaji equivalent of the Onyomi reading,Text
"capital, capital suburbs [**On**]","畿,キ","",Guess the romaji equivalent of the Onyomi reading,Text
"cavern [**On**]","窟,クツ","",Guess the romaji equivalent of the Onyomi reading,Text
"chair [**On**]","椅,イ","",Guess the romaji equivalent of the Onyomi reading,Text
"clear [**On**]","瞭,リョウ","",Guess the romaji equivalent of the Onyomi reading,Text
"companion, follower [**On**]","侶,リョ","",Guess the romaji equivalent of the Onyomi reading,Text
"compare, illustrate, speak figuratively [**On**]","喩,ユ","",Guess the romaji equivalent of the Onyomi reading,Text
"cover, covering, shade, mantle, coat, hood, bonnet, casing, awning [**On**]","蔽,ヘイ","",Guess the romaji equivalent of the Onyomi reading,Text
"crush, break, sprain, dislocate, frustrate, unnerve, dampen(spirits) [**On**]","挫,ザ","",Guess the romaji equivalent of the Onyomi reading,Text
"dark [**On**]","冥,メイ,ミョウ","",Guess the romaji equivalent of the Onyomi reading,Text
"dark, foolish [**On**]","昧,マイ","",Guess the romaji equivalent of the Onyomi reading,Text
"dark, not clear [**On**]","曖,アイ","",Guess the romaji equivalent of the Onyomi reading,Text
"dawn, early moring [**On**]","旦,タン,ダン","",Guess the romaji equivalent of the Onyomi reading,Text
"deed, skill [**On**]","伎,キ","",Guess the romaji equivalent of the Onyomi reading,Text
"dice, form, appearance [**On**]","采,サイ","",Guess the romaji equivalent of the Onyomi reading,Text
"discussion, selection, methods called for, result, effect [**On**]","詮,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"fear, be overawed, be apprehensive [**On**]","惧,グ","",Guess the romaji equivalent of the Onyomi reading,Text
"fear, shudder [**On**]","慄,リツ","",Guess the romaji equivalent of the Onyomi reading,Text
"feel ashamed [**On**]","羞,シュウ","",Guess the romaji equivalent of the Onyomi reading,Text
"fine (not coarse) [**On**]","緻,チ","",Guess the romaji equivalent of the Onyomi reading,Text
"flourishing, successful, beautiful, vigorous [**On**]","旺,オウ","",Guess the romaji equivalent of the Onyomi reading,Text
"for the most part, close up [**On**]","梗,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"form, appearance, countenance [**On**]","貌,ボウ","",Guess the romaji equivalent of the Onyomi reading,Text
"friendly, intimate, harmonious [**On**]","睦,ボク","",Guess the romaji equivalent of the Onyomi reading,Text
"gift, seriousness [**On**]","摯,シ","",Guess the romaji equivalent of the Onyomi reading,Text
"gland [**On**]","腺,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"gloom, depression, melancholy [**On**]","鬱,ウツ","",Guess the romaji equivalent of the Onyomi reading,Text
"go into, fit into, fall into, plunge into, be deceived [**On**]","填,テン","",Guess the romaji equivalent of the Onyomi reading,Text
"gunwale [**On**]","舷,ゲン","",Guess the romaji equivalent of the Onyomi reading,Text
"hammer, mallet [**On**]","椎,ツイ","",Guess the romaji equivalent of the Onyomi reading,Text
"harmony, order, suitability [**On**]","諧,カイ","",Guess the romaji equivalent of the Onyomi reading,Text
"honey, nectar, molasses, honeydew [**On**]","蜜,ミツ","",Guess the romaji equivalent of the Onyomi reading,Text
"humble oneself, condescend, be modest [**On**]","遜,ソン","",Guess the romaji equivalent of the Onyomi reading,Text
"kidney [**On**]","腎,ジン","",Guess the romaji equivalent of the Onyomi reading,Text
"Korea [**On**]","韓,カン","",Guess the romaji equivalent of the Onyomi reading,Text
"lapis lazuli [**On**]","瑠,ル","",Guess the romaji equivalent of the Onyomi reading,Text
"lapis lazuli [**On**]","璃,リ","",Guess the romaji equivalent of the Onyomi reading,Text
"Latin [**On**]","拉,ラ","",Guess the romaji equivalent of the Onyomi reading,Text
"long for [**On**]","憬,ケイ","",Guess the romaji equivalent of the Onyomi reading,Text
"luxury, select [**On**]","汰,タ","",Guess the romaji equivalent of the Onyomi reading,Text
"make progress [**On**]","捗,チョク","",Guess the romaji equivalent of the Onyomi reading,Text
"melting [**On**]","冶,ヤ","",Guess the romaji equivalent of the Onyomi reading,Text
"noodles, wheat flour [**On**]","麺,メン","",Guess the romaji equivalent of the Onyomi reading,Text
"obituary, report of a death [**On**]","訃,フ","",Guess the romaji equivalent of the Onyomi reading,Text
"once, before, formerly, ever, never(neg.), former, ex [**On**]","曽,ソウ,ゾ","",Guess the romaji equivalent of the Onyomi reading,Text
"pan [**On**]","汎,ハン","",Guess the romaji equivalent of the Onyomi reading,Text
"paper, label, letter, composition [**On**]","箋,セン","",Guess the romaji equivalent of the Onyomi reading,Text
"piled high [**On**]","堆,タイ","",Guess the romaji equivalent of the Onyomi reading,Text
"pinch (of salt), small gift of money, a twist [**On**]","捻,ネン","",Guess the romaji equivalent of the Onyomi reading,Text
"play, take pleasure in, play (on an instrument), play with, make sport of, trifle with (affections) [**On**]","玩,ガン","",Guess the romaji equivalent of the Onyomi reading,Text
"pour, fertility [**On**]","沃,ヨク","",Guess the romaji equivalent of the Onyomi reading,Text
"push open [**On**]","挨,アイ","",Guess the romaji equivalent of the Onyomi reading,Text
"relative, sadness [**On**]","戚,セキ","",Guess the romaji equivalent of the Onyomi reading,Text
"remains (of something), clue, footprint [**On**]","踪,ソウ","",Guess the romaji equivalent of the Onyomi reading,Text
"sak_ [**On**]","酎,チュウ","",Guess the romaji equivalent of the Onyomi reading,Text
"same kind [**On**]","彙,イ","",Guess the romaji equivalent of the Onyomi reading,Text
"sand [**On**]","沙,サ","",Guess the romaji equivalent of the Onyomi reading,Text
"selfindulgent, wayward, selfish, arbitrary [**On**]","恣,シ","",Guess the romaji equivalent of the Onyomi reading,Text
"small low table, tray [**On**]","膳,ゼン","",Guess the romaji equivalent of the Onyomi reading,Text
"spot [**On**]","斑,ハン","",Guess the romaji equivalent of the Onyomi reading,Text
"spread out, wide [**On**]","氾,ハン","",Guess the romaji equivalent of the Onyomi reading,Text
"squarecharacter style, straight tree, correctness, rule, model [**On**]","楷,カイ","",Guess the romaji equivalent of the Onyomi reading,Text
"stature, height [**On**]","脊,セキ","",Guess the romaji equivalent of the Onyomi reading,Text
"stockade, fence, palisade [**On**]","柵,サク","",Guess the romaji equivalent of the Onyomi reading,Text
"suddenly, in a hurry, immediately [**On**]","頓,トン","",Guess the romaji equivalent of the Onyomi reading,Text
"suddenness, rise [**On**]","勃,ボツ","",Guess the romaji equivalent of the Onyomi reading,Text
"taking in the mouth [**On**]","哺,ホ","",Guess the romaji equivalent of the Onyomi reading,Text
"temple [**On**]","刹,サツ,セツ","",Guess the romaji equivalent of the Onyomi reading,Text
"think, consider, quarrel [**On**]","稽,ケイ","",Guess the romaji equivalent of the Onyomi reading,Text
"threaten [**On**]","凄,セイ","",Guess the romaji equivalent of the Onyomi reading,Text
"timidity, breast, heart, mind [**On**]","臆,オク","",Guess the romaji equivalent of the Onyomi reading,Text
"to bent [**On**]","勾,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"to tie [**On**]","錮,コ","",Guess the romaji equivalent of the Onyomi reading,Text
"torment, scold, chastise [**On**]","苛,カ","",Guess the romaji equivalent of the Onyomi reading,Text
"towel [**On**]","巾,キン","",Guess the romaji equivalent of the Onyomi reading,Text
"what [**On**]","那,ナ","",Guess the romaji equivalent of the Onyomi reading,Text
"wick [**On**]","芯,シン","",Guess the romaji equivalent of the Onyomi reading,Text
"indigo (blue), indigo plant [**On**]","藍,ラン","Kunyomi: あい = indigo (blue), indigo plant",Guess the romaji equivalent of the Onyomi reading,Text
"abandon, give up, resign to, be reconciled to [**On**]","諦,テイ","Kunyomi: あきらめる = abandon, give up, resign to, be reconciled to",Guess the romaji equivalent of the Onyomi reading,Text
"jaw [**On**]","顎,ガク","Kunyomi: あご = jaw, chin",Guess the romaji equivalent of the Onyomi reading,Text
"yearn after, long for, thirst for, aspire to, admire, adore [**On**]","憧,ショウ","Kunyomi: あこがれる = yearn after, long for, thirst for, aspire to, admire, adore",Guess the romaji equivalent of the Onyomi reading,Text
"rudicule, insult [**On**]","嘲,チョウ","Kunyomi: あざける = rudicule, insult",Guess the romaji equivalent of the Onyomi reading,Text
"mark, footprint [**On**]","痕,コン","Kunyomi: あと = mark, footprint",Guess the romaji equivalent of the Onyomi reading,Text
"attractive, bewitching, calamity [**On**]","妖,ヨウ","Kunyomi: あやしい = attractive, bewitching, calamity",Guess the romaji equivalent of the Onyomi reading,Text
"broil, parch, roast, fire (tea), boil down (in oil) [**On**]","煎,セン","Kunyomi: いる = broil, parch, roast, fire (tea), boil down (in oil)",Guess the romaji equivalent of the Onyomi reading,Text
"mortar, hand mill [**On**]","臼,キュウ","Kunyomi: うす = mortar, hand mill",Guess the romaji equivalent of the Onyomi reading,Text
"be envious, be jealous, covet [**On**]","羨,セン","Kunyomi: うらやむ,うらやましい = be envious, be jealous, covet, enviable",Guess the romaji equivalent of the Onyomi reading,Text
"food [**On**]","餌,ジ","Kunyomi: えさ,え = feed, food, bait, prey, tempting profit",Guess the romaji equivalent of the Onyomi reading,Text
"fear, be overawed, be apprehensive [**On**]","畏,イ","Kunyomi: おそれる = fear, be overawed, be apprehensive",Guess the romaji equivalent of the Onyomi reading,Text
"drown, indulge in [**On**]","溺,デキ","Kunyomi: おぼれる = drown, indulge in",Guess the romaji equivalent of the Onyomi reading,Text
"(piano)key [**On**]","鍵,ケン","Kunyomi: かぎ = key",Guess the romaji equivalent of the Onyomi reading,Text
"smell, sniff, scent [**On**]","嗅,キュウ","Kunyomi: かぐ = smell, sniff, scent",Guess the romaji equivalent of the Onyomi reading,Text
"cliff, bluff, precipice [**On**]","崖,ガイ","Kunyomi: がけ = cliff, bluff, precipice",Guess the romaji equivalent of the Onyomi reading,Text
"gambling [**On**]","賭,ト","Kunyomi: かける = wager, place a bet",Guess the romaji equivalent of the Onyomi reading,Text
"be crowed, requiring (a lot of work) [**On**]","籠,ロウ","Kunyomi: かご,こもる = cage, coop, basket, seclude oneself, be confined in, be implied, be stuffy, be filled with (smoke)",Guess the romaji equivalent of the Onyomi reading,Text
"turtle, tortoise [**On**]","亀,キ","Kunyomi: かめ = turtle, tortoise",Guess the romaji equivalent of the Onyomi reading,Text
"tile [**On**]","瓦,ガ","Kunyomi: かわら = tile",Guess the romaji equivalent of the Onyomi reading,Text
"tusk, fang, canine tooth, eyetooth [**On**]","牙,ガ,ゲ","Kunyomi: きば = tusk, fang, canine tooth, eyetooth",Guess the romaji equivalent of the Onyomi reading,Text
"beheading [**On**]","斬,ザン","Kunyomi: きる = kill, cut",Guess the romaji equivalent of the Onyomi reading,Text
"arrowroot, a strongfiber vine [**On**]","葛,カツ","Kunyomi: くず = arrowroot, arrowroot starch",Guess the romaji equivalent of the Onyomi reading,Text
"kick [**On**]","蹴,シュウ","Kunyomi: ける = kick",Guess the romaji equivalent of the Onyomi reading,Text
"fist [**On**]","拳,ケン","Kunyomi: こぶし = fist",Guess the romaji equivalent of the Onyomi reading,Text
"go upstream, retrace the past [**On**]","遡,ソ","Kunyomi: さかのぼる = go upstream, retrace the past",Guess the romaji equivalent of the Onyomi reading,Text
"ignore, despise, neglect, ridicule [**On**]","蔑,ベツ","Kunyomi: さげすむ = despise, ridicule",Guess the romaji equivalent of the Onyomi reading,Text
"refreshing, bracing, clear, resonant, sweet(voice), fluent [**On**]","爽,ソウ","Kunyomi: さわやか = refreshing, bracing, clear, resonant, sweet(voice), fluent",Guess the romaji equivalent of the Onyomi reading,Text
"scold, reprove [**On**]","叱,シツ","Kunyomi: しかる = scold, reprove",Guess the romaji equivalent of the Onyomi reading,Text
"crevice, fissure, chink, discord, opportunity [**On**]","隙,ゲキ","Kunyomi: すき = time, leisure, gap, crack, room, space, chance, unpreparedness, unguarded moment",Guess the romaji equivalent of the Onyomi reading,Text
"sleeve, sleeve pocket, wing(of a building), extension(of a table) [**On**]","袖,シュウ","Kunyomi: そで = sleeve, sleeve pocket, wing(of a building), extension(of a table)",Guess the romaji equivalent of the Onyomi reading,Text
"sputum, saliva [**On**]","唾,ダ","Kunyomi: つば = sputum, saliva",Guess the romaji equivalent of the Onyomi reading,Text
"crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down [**On**]","潰,カイ","Kunyomi: つぶす,つぶれる = be smashed, be destroyed, collapse, be defaced(type), be ruined, be worn down, crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down",Guess the romaji equivalent of the Onyomi reading,Text
"luster, glaze, polish, charm [**On**]","艶,エン","Kunyomi: つや = gloss, luster, glaze, polish, brightness, charm, romance, love",Guess the romaji equivalent of the Onyomi reading,Text
"tiger, drunkard [**On**]","虎,コ","Kunyomi: とら = tiger, drunkard",Guess the romaji equivalent of the Onyomi reading,Text
"catch, arrest, capture [**On**]","捉,ソク","Kunyomi: とらえる = catch, arrest, capture",Guess the romaji equivalent of the Onyomi reading,Text
