Question,Answer,Comment,Instruction,Render as
"貝,||かい||","shell, shellfish","",Guess the meaning of the Kunyomi reading,Text
"森,||シン||","woods, grove","Kunyomi: もり = woods, grove",Guess the meaning of the Onyomi reading,Text
"八,||ハチ||","eight","Kunyomi: や,やつ,やっつ,よう = eight",Guess the meaning of the Onyomi reading,Text
"休,||キュウ||","rest, take a day off, be absent, retire, sleep","Kunyomi: やすむ,やすまる,やすめる = rest, take a day off, be absent, retire, sleep, rest (oneself), let idle, suspend, have (someone) rest, set at ease, give relief to, fallow (land), be rested, feel at ease, repose, be relieved",Guess the meaning of the Onyomi reading,Text
"山,||サン||","mount, mountain","Kunyomi: やま = mountain, hill, height, knoll, heap, pile, crown (of a hat), seam (of an obi), speculation, adventure, climax, acme, crisis, forest, mine",Guess the meaning of the Onyomi reading,Text
"夕,||セキ||","evening","Kunyomi: ゆう = evening",Guess the meaning of the Onyomi reading,Text
"四,||シ||","four","Kunyomi: よ,よつ,よっつ,よん = four",Guess the meaning of the Onyomi reading,Text
"shell, shellfish [**Kun**]","貝,かい","",Guess the romaji equivalent of the Kunyomi reading,Text
"one, a unit, the same, just, once [**Kun**]","一,ひと,ひとつ","Onyomi: イチ,イツ = one, a",Guess the romaji equivalent of the Kunyomi reading,Text
"rain, rainfall [**Kun**]","雨,あめ,あま","Onyomi: ウ = rain, fainfall",Guess the romaji equivalent of the Kunyomi reading,Text
"right, right hand [**Kun**]","右,みぎ","Onyomi: ウ,ユウ = right, right hand",Guess the romaji equivalent of the Kunyomi reading,Text
"round, circular, spherical [**Kun**]","円,まるい","Onyomi: エン = circle, yen",Guess the romaji equivalent of the Kunyomi reading,Text
"sound, noise, roar, fame, tone, note, voice, chirping [**Kun**]","音,おと,ね","Onyomi: オン,イン = sound, noise, pronunciation, tone",Guess the romaji equivalent of the Kunyomi reading,Text
"fire, flame, blaze [**Kun**]","火,ひ,ほ","Onyomi: カ = fire, Tuesday",Guess the romaji equivalent of the Kunyomi reading,Text
"flower, blossom, cherry blossoms, essence, spirit, pride, pearl, youth, best days, beautiful woman, flower arrangement, flowercard game [**Kun**]","花,はな","Onyomi: カ = flower",Guess the romaji equivalent of the Kunyomi reading,Text
"come down, go down, get down, descend, be given, be less than, have diarrhea, retire, leave the capital, give, confer, oblige, favor with, let down, lower, issue (orders), hand down (decisions), have diarrhea, lay (hands) on, step down, get off, swoop down, land, take down, pull down, lift down, drop, launch, let off (passengers), wear (for the first time), cause (abortion), grate, invoke, ex","下,した,しも,もと,さげる,さがる,くだる,くだす,くださる,おろす,おりる","Onyomi: カ,ゲ = low class, inferiority, second, or last volume",Guess the romaji equivalent of the Kunyomi reading,Text
"learn, study [**Kun**]","学,まなぶ","Onyomi: ガク = learning, study, science, scholarship, erudition",Guess the romaji equivalent of the Kunyomi reading,Text
"rest, take a day off, be absent, retire, sleep, rest (oneself), let idle, suspend, have (someone) rest, set at ease, give relief to, fallow (land), be rested, feel at ease, repose, be relieved [**Kun**]","休,やすむ,やすまる,やすめる","Onyomi: キュウ = rest, take a day off, be absent, retire, sleep",Guess the romaji equivalent of the Kunyomi reading,Text
"nine [**Kun**]","九,ここの,ここのつ","Onyomi: キュウ,ク = nine",Guess the romaji equivalent of the Kunyomi reading,Text
"ball, bowl, sphere, bulb, lens, gem, jewel, bullet, shot, shell, billiards, tool, cat’s paw, pretty girl, person, margin (in stocks), testicles [**Kun**]","玉,たま","Onyomi: ギョク = gem, jewel, precious stone, jade",Guess the romaji equivalent of the Kunyomi reading,Text
"money, metal [**Kun**]","金,かね,かな","Onyomi: キン,コン = gold, money, Friday",Guess the romaji equivalent of the Kunyomi reading,Text
"become empty, be less crowded, empty, sky, heavens, air, weather, memory, absentmindedness [**Kun**]","空,そら,あく,あける,から","Onyomi: クウ = air, sky, emptiness, vanity, unreality, hollow, void",Guess the romaji equivalent of the Kunyomi reading,Text
"moon, month [**Kun**]","月,つき","Onyomi: ゲツ,ガツ = moon, month, Monday, month (of the year)",Guess the romaji equivalent of the Kunyomi reading,Text
"dog, spy [**Kun**]","犬,いぬ","Onyomi: ケン = dog",Guess the romaji equivalent of the Kunyomi reading,Text
"see, look at, witness, observe, regard as, sightsee, look through, examine, consult (a lexicon), tell (one’s future), estimate, care for, try, test, be seen, be visible, be in sight, look like, seem, appear, come, show up, be found [**Kun**]","見,みる,みえる,みせる","Onyomi: ケン = hopes, chances, ideas, opinion",Guess the romaji equivalent of the Kunyomi reading,Text
"five, five years old [**Kun**]","五,いつ,いつつ","Onyomi: ゴ = five",Guess the romaji equivalent of the Kunyomi reading,Text
"mouth, lips, speech, words, one's taste, stopper, plug, nozzle, orifice, slit, aperture, door, gate, entrance, route, ascent, employment, job, call (for a doctor), share, kind, lot, brand, beginning, rumor, opening (of a boil) [**Kun**]","口,くち","Onyomi: コウ,ク = mouth",Guess the romaji equivalent of the Kunyomi reading,Text
"left, the left, leftist [**Kun**]","左,ひだり","Onyomi: サ = left, the following",Guess the romaji equivalent of the Kunyomi reading,Text
"mountain, hill, height, knoll, heap, pile, crown (of a hat), seam (of an obi), speculation, adventure, climax, acme, crisis, forest, mine [**Kun**]","山,やま","Onyomi: サン = mount, mountain",Guess the romaji equivalent of the Kunyomi reading,Text
"three [**Kun**]","三,み,みつ,みっつ","Onyomi: サン = three",Guess the romaji equivalent of the Kunyomi reading,Text
"section of a village [**Kun**]","字,あざ","Onyomi: ジ = character, letter, word, handwriting",Guess the romaji equivalent of the Kunyomi reading,Text
"ear, edge, border, loop, selvage, bread crusts [**Kun**]","耳,みみ","Onyomi: ジ = ear",Guess the romaji equivalent of the Kunyomi reading,Text
"four [**Kun**]","四,よ,よつ,よっつ,よん","Onyomi: シ = four",Guess the romaji equivalent of the Kunyomi reading,Text
"thread, yarn, gut, string (of a violin), (fish) line [**Kun**]","糸,いと","Onyomi: シ = thread, one tenthousandth of a hair",Guess the romaji equivalent of the Kunyomi reading,Text
"child, offspring, the young (of animals) [**Kun**]","子,こ","Onyomi: シ,ス = viscount, master, child, male, fruit, seed,offspring, the young (of animals)",Guess the romaji equivalent of the Kunyomi reading,Text
"seven [**Kun**]","七,なな,ななつ,なの","Onyomi: シチ = seven",Guess the romaji equivalent of the Kunyomi reading,Text
"wheel, vehicle, carriage, wagon, cart, wheelbarrow, gocart, jinricksha, van, automobile [**Kun**]","車,くるま","Onyomi: シャ = vehicle, a vehicle load",Guess the romaji equivalent of the Kunyomi reading,Text
"hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury [**Kun**]","手,て,た","Onyomi: シュ = hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury",Guess the romaji equivalent of the Kunyomi reading,Text
"ten [**Kun**]","十,とお,と","Onyomi: ジュウ,ジッ = ten",Guess the romaji equivalent of the Kunyomi reading,Text
"appear, come out, emerge, haunt, infest, be found, get back, be served (meals), lead to, enter, find (oneself) at, come out (as a result), leave, go out, get out, attend, appear, work (at), participate, launch (into), run (for an office), be published, sell, depart, graduate, break out, originate, be raised, be produced, issue from, be traced to, derive from, stem from, protrude, stick out, e","出,でる,だす","Onyomi: シュツ,スイ = born of, appearing from, going out, sending out",Guess the romaji equivalent of the Kunyomi reading,Text
"woman, female, sweetheart, girl [**Kun**]","女,おんな,め","Onyomi: ジョ,ニョ,ニョウ = woman, girl, daughter",Guess the romaji equivalent of the Kunyomi reading,Text
"small, little, diminutive, minute, fine, trivial,short, pretty, petty, nearly,nice [**Kun**]","小,ちいさい,こ,お","Onyomi: ショウ = smallness, minor, small,humility prefix, small",Guess the romaji equivalent of the Kunyomi reading,Text
"up, upper part, top, summit, surface, far better, higher, (in) authority, as far as…is concerned, besides, after, emperor, sovereign, upon (examination), influence of (liquor), lord, shogun, superior,rise, go up, climb up, advance, appreciate, be offered, accrue, be finished, (expenses) come to, go bankrupt, begin spinning (cocoons), be caught, get ruffled, eat, drink, die, weaken (as a batte","上,うえ,うわ,かみ,あげる,あがる,のぼる,のぼせる,のぼす","Onyomi: ジョウ,ショウ = top, best, first volume,upper part, government,aboard a ship or vehicle, from the standpoint of, as a matter of (fact),governmental, imperial, best, high class, going up, presenting, showing",Guess the romaji equivalent of the Kunyomi reading,Text
"woods, grove [**Kun**]","森,もり","Onyomi: シン = woods, grove",Guess the romaji equivalent of the Kunyomi reading,Text
"man, human being, mankind, person, people, character, personality, true man, man of talent, adult, other people, messenger, visitor [**Kun**]","人,ひと","Onyomi: ジン,ニン = man, person, people",Guess the romaji equivalent of the Kunyomi reading,Text
"water [**Kun**]","水,みず","Onyomi: スイ = water, ice water, Wednesday",Guess the romaji equivalent of the Kunyomi reading,Text
"grow, spring up, cut (teeth),cultivate, wear (a beard),revive, resuscitate, restore to life, let live, spare a life, make the most of, give life to, stet,keep alive, arrange flowers (in a vase), living,live, subsist, exist, be enlivened, be safe (on first),be born,bear, give birth to, breed, spawn, produce, yield (interest),raw, uncooked, fresh, unripe, halfboiled, rare, hard cash, impertinen","生,いきる,いかす,いける,うまれる,うむ,おう,はえる,はやす,き,なま","Onyomi: セイ,ショウ = birth, life, existence, living, subsistence, student",Guess the romaji equivalent of the Kunyomi reading,Text
"blue, green, green light, pale, unripe, green [**Kun**]","青,あお,あおい","Onyomi: セイ,ショウ = blue, green, green light",Guess the romaji equivalent of the Kunyomi reading,Text
"correct, adjust, reform, redress, straighten, amend,right, righteous, just, honest, truthful, proper, lawful, healthy, moral, straight, straightforward, perfect [**Kun**]","正,ただしい,ただす,まさ","Onyomi: セイ,ショウ = right, righteousness, justice, original, plus, positive, genuine,just, punctual, senior,Regular",Guess the romaji equivalent of the Kunyomi reading,Text
"evening [**Kun**]","夕,ゆう","Onyomi: セキ = evening",Guess the romaji equivalent of the Kunyomi reading,Text
"red, crimson, scarlet, Communist, Red,become red,blush, redden [**Kun**]","赤,あか,あかい,あからむ,あからめる","Onyomi: セキ,シャク = red, crimson, scarlet",Guess the romaji equivalent of the Kunyomi reading,Text
"stone, pebble, rock, jewel, the go playing stones [**Kun**]","石,いし","Onyomi: セキ,シャク,コク = stone, pebble, rock, jewel, the go playing stones,4.96 bushels, 10 cubic feet (of lumber)",Guess the romaji equivalent of the Kunyomi reading,Text
"river, stream, brook [**Kun**]","川,かわ","Onyomi: セン = river, stream, brook",Guess the romaji equivalent of the Kunyomi reading,Text
"point, tip, end, nozzle, head (of a line), the first priority, the future, objective, destination, sequel, remainder, the other party, future [**Kun**]","先,さき","Onyomi: セン = the future, priority, precedence",Guess the romaji equivalent of the Kunyomi reading,Text
"thousand, many [**Kun**]","千,ち","Onyomi: セン = thousand, many",Guess the romaji equivalent of the Kunyomi reading,Text
"grass, grass hand (writing), weeds, herbs, plants, pasture [**Kun**]","草,くさ","Onyomi: ソウ = grass, grass hand (writing), weeds, herbs, plants, pasture",Guess the romaji equivalent of the Kunyomi reading,Text
"quick, fast, speedy, brisk, prompt, early, premature,hasten, precipitate, accelerate, expedite, advance (the date),be hasty, be rash [**Kun**]","早,はやい,はやまる,はやめる","Onyomi: ソウ,サッ = quick, fast, speedy, brisk, prompt, early, premature",Guess the romaji equivalent of the Kunyomi reading,Text
"foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage,money,be sufficient, suffice, serve, answer, will do (for something), be worth, deserve, be satisfied, qualify,add to, add up, make up for, make good, supply, supplement [**Kun**]","足,あし,たりる,たる,たす","Onyomi: ソク = foot, leg, counter for pairs of footwear",Guess the romaji equivalent of the Kunyomi reading,Text
"village, hamlet [**Kun**]","村,むら","Onyomi: ソン = village, hamlet",Guess the romaji equivalent of the Kunyomi reading,Text
"large, great, grand, mighty, immense, severe, heavy,very, much, greatly, exceedingly,heavy (rain), loud (voice), fullsize, lifesize [**Kun**]","大,おお,おおきい,おおいに","Onyomi: ダイ,タイ = large, huge, grand, the greater, size, very, inveterate (smoker), severe (damage), success",Guess the romaji equivalent of the Kunyomi reading,Text
"man, male, fellow, adult, manhood, male servant, paramour [**Kun**]","男,おとこ","Onyomi: ダン,ナン = man, male, baron,counter for sons",Guess the romaji equivalent of the Kunyomi reading,Text
"bamboo, bamboo wind instrument [**Kun**]","竹,たけ","Onyomi: チク = bamboo",Guess the romaji equivalent of the Kunyomi reading,Text
"worm, vermin, bug, insect, temper, nervousness, peevishness, bad company [**Kun**]","虫,むし","Onyomi: チュウ = worm, vermin, bug, insect, temper, nervousness, peevishness, bad company",Guess the romaji equivalent of the Kunyomi reading,Text
"inside, interior, midst, middle, mean, midway [**Kun**]","中,なか","Onyomi: チュウ,ジュウ = center, middle, middle (course), (golden) mean, medium, mediocrity, average, second volume (of three)",Guess the romaji equivalent of the Kunyomi reading,Text
"town, quarters, street [**Kun**]","町,まち","Onyomi: チョウ = town, block, street, 2.45 acres, 119 yards",Guess the romaji equivalent of the Kunyomi reading,Text
"rice field, paddy field [**Kun**]","田,た","Onyomi: デン = rice field, paddy field",Guess the romaji equivalent of the Kunyomi reading,Text
"sky, heaven,Heavenly [**Kun**]","天,あめ,あま","Onyomi: テン = sky, air, heavens, celestial sphere, firmament, heaven, Providence, God, Nature, destiny, weather, top, beginning",Guess the romaji equivalent of the Kunyomi reading,Text
"earth, soil, ground [**Kun**]","土,つち","Onyomi: ド,ト = earth, ground, Saturday, Turkey",Guess the romaji equivalent of the Kunyomi reading,Text
"two [**Kun**]","二,ふた,ふたつ","Onyomi: ニ = two, second",Guess the romaji equivalent of the Kunyomi reading,Text
"sun, time, day, date [**Kun**]","日,ひ,か","Onyomi: ニチ,ジツ = day, Sunday",Guess the romaji equivalent of the Kunyomi reading,Text
"go in, come in, flow into, set, set in,put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in, insert, set (jewels), employ, listen to, tolerate, comprehend, include, pay (interest), cast (votes),enter, break into, join, enroll, contain, hold, accommodate, have (an income of) [**Kun**]","入,いる,いれる,はいる","Onyomi: ニュウ = go in, come in, flow into, set, set in",Guess the romaji equivalent of the Kunyomi reading,Text
"year, age, time of life [**Kun**]","年,とし","Onyomi: ネン = year, term of service",Guess the romaji equivalent of the Kunyomi reading,Text
"white, fair (skin), gray (hair), blank (paper), spotless, innocent,feigned ignorance [**Kun**]","白,しろ,しら,しろい","Onyomi: ハク,ビャク = white",Guess the romaji equivalent of the Kunyomi reading,Text
"eight [**Kun**]","八,や,やつ,やっつ,よう","Onyomi: ハチ = eight",Guess the romaji equivalent of the Kunyomi reading,Text
"letter, note [**Kun**]","文,ふみ","Onyomi: ブン,モン = 1/100 of a hyakume, crest, figures,literary text, production, composition, sentence, style, literature, art, the pen, civil affairs, decoration, characters, elegance",Guess the romaji equivalent of the Kunyomi reading,Text
"tree, wood, timber, lumber, wooden clappers [**Kun**]","木,き,こ","Onyomi: ボク,モク = tree, Thursday",Guess the romaji equivalent of the Kunyomi reading,Text
"beginning, origin, foundation, basis, source, cause, root (of a tree), (raw) material, base, capital, principal, cost, forebears, formerly [**Kun**]","本,もと","Onyomi: ホン = book, this, the same, the present, the current, main, true, real, regular, normal, counter for long things",Guess the romaji equivalent of the Kunyomi reading,Text
"name, fame, reputation, pretext [**Kun**]","名,な","Onyomi: メイ,ミョウ = distinguished, noted, wise, name",Guess the romaji equivalent of the Kunyomi reading,Text
"eye, look, gaze, notice, attention, viewpoint, discrimination, insight, experience, treatment, care, favor, pity, texture, weave, mesh, grain, square, sight, vision, tooth (of a saw), weight, momme (0.1325 oz.), eye (of a needle) [**Kun**]","目,め,ま","Onyomi: モク,ボク = item, division, class, order (of plants or animals)",Guess the romaji equivalent of the Kunyomi reading,Text
"stand, rise, rouse oneself, be built, be established, go up (smoke), burn out, depart, take flight, run high (waves), stick into, be worked out, be maintained, save (face), establish oneself, begin life, spread (rumors), shut (door), be active, open (markets), be excited, come (seasons), makes (a total of thirty),stand something up, set up, raise, put up, set on edge, prick up (one's ears), b","立,たつ,たてる","Onyomi: リツ,リュウ = standing",Guess the romaji equivalent of the Kunyomi reading,Text
"strength, energy, force, might, power, agency, authority, influence, vigor, stress, emphasis, exertions, endeavors, efficacy, help, support, good offices, ability, faculty, capability, attainment, means, resources [**Kun**]","力,ちから","Onyomi: リョク,リキ = strain, bear up, exert one's strength, swagger, bluff, boast,strength,power",Guess the romaji equivalent of the Kunyomi reading,Text
"forest [**Kun**]","林,はやし","Onyomi: リン = forest",Guess the romaji equivalent of the Kunyomi reading,Text
"six [**Kun**]","六,む,むつ,むっつ,むい","Onyomi: ロク = six",Guess the romaji equivalent of the Kunyomi reading,Text
"hundred, a great number, all [**On**]","百,ヒャク","",Guess the romaji equivalent of the Onyomi reading,Text
"king, rule, magnate, baron [**On**]","王,オウ","",Guess the romaji equivalent of the Onyomi reading,Text
"school, (printing) proof, comparison, correction, investigation [**On**]","校,コウ","",Guess the romaji equivalent of the Onyomi reading,Text
"spirit, mind, soul, heart, intention, bent, interest, mood, feeling, temper, disposition, nature, care, attention, air, atmosphere, flavor, odor, energy, essence, indications, symptoms, taste, touch, dash, shade, trace, spark, flash, suspicion [**On**]","気,キ,ケ","",Guess the romaji equivalent of the Onyomi reading,Text
"blue, green, green light [**On**]","青,セイ,ショウ","Kunyomi: あお,あおい = blue, green, green light, pale, unripe, green",Guess the romaji equivalent of the Onyomi reading,Text
"red, crimson, scarlet [**On**]","赤,セキ,シャク","Kunyomi: あか,あかい,あからむ,あからめる = red, crimson, scarlet, Communist, Red,become red,blush, redden",Guess the romaji equivalent of the Onyomi reading,Text
"character, letter, word, handwriting [**On**]","字,ジ","Kunyomi: あざ = section of a village",Guess the romaji equivalent of the Onyomi reading,Text
"foot, leg, counter for pairs of footwear [**On**]","足,ソク","Kunyomi: あし,たりる,たる,たす = foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage,money,be sufficient, suffice, serve, answer, will do (for something), be worth, deserve, be satisfied, qualify,add to, add up, make up for, make good, supply, supplement",Guess the romaji equivalent of the Onyomi reading,Text
"rain, fainfall [**On**]","雨,ウ","Kunyomi: あめ,あま = rain, rainfall",Guess the romaji equivalent of the Onyomi reading,Text
"sky, air, heavens, celestial sphere, firmament, heaven, Providence, God, Nature, destiny, weather, top, beginning [**On**]","天,テン","Kunyomi: あめ,あま = sky, heaven,Heavenly",Guess the romaji equivalent of the Onyomi reading,Text
"birth, life, existence, living, subsistence, student [**On**]","生,セイ,ショウ","Kunyomi: いきる,いかす,いける,うまれる,うむ,おう,はえる,はやす,き,なま = grow, spring up, cut (teeth),cultivate, wear (a beard),revive, resuscitate, restore to life, let live, spare a life, make the most of, give life to, stet,keep alive, arrange flowers (in a vase), living,live, subsist, exist, be enlivened, be safe (on first),be born,bear, give birth to, breed, spawn, produce, yield (interest),raw, uncooked, fresh, unripe, halfboiled, rare, hard cash, impertinent, conceited, inexperienced, (beer) on tap, crude (rubber), unprocessed,pure, undiluted, genuine, raw, crude",Guess the romaji equivalent of the Onyomi reading,Text
"stone, pebble, rock, jewel, the go playing stones,4.96 bushels, 10 cubic feet (of lumber) [**On**]","石,セキ,シャク,コク","Kunyomi: いし = stone, pebble, rock, jewel, the go playing stones",Guess the romaji equivalent of the Onyomi reading,Text
"five [**On**]","五,ゴ","Kunyomi: いつ,いつつ = five, five years old",Guess the romaji equivalent of the Onyomi reading,Text
"thread, one tenthousandth of a hair [**On**]","糸,シ","Kunyomi: いと = thread, yarn, gut, string (of a violin), (fish) line",Guess the romaji equivalent of the Onyomi reading,Text
"dog [**On**]","犬,ケン","Kunyomi: いぬ = dog, spy",Guess the romaji equivalent of the Onyomi reading,Text
"go in, come in, flow into, set, set in [**On**]","入,ニュウ","Kunyomi: いる,いれる,はいる = go in, come in, flow into, set, set in,put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in, insert, set (jewels), employ, listen to, tolerate, comprehend, include, pay (interest), cast (votes),enter, break into, join, enroll, contain, hold, accommodate, have (an income of)",Guess the romaji equivalent of the Onyomi reading,Text
"top, best, first volume,upper part, government,aboard a ship or vehicle, from the standpoint of, as a matter of (fact),governmental, imperial, best, high class, going up, presenting, showing [**On**]","上,ジョウ,ショウ","Kunyomi: うえ,うわ,かみ,あげる,あがる,のぼる,のぼせる,のぼす = up, upper part, top, summit, surface, far better, higher, (in) authority, as far as…is concerned, besides, after, emperor, sovereign, upon (examination), influence of (liquor), lord, shogun, superior,rise, go up, climb up, advance, appreciate, be offered, accrue, be finished, (expenses) come to, go bankrupt, begin spinning (cocoons), be caught, get ruffled, eat, drink, die, weaken (as a battery), let up (rain),raise, elevate, fly (kites), praise, increase, promote, elevate, vomit, usher in, admit, send (to school), offer, present, leave with, finis",Guess the romaji equivalent of the Onyomi reading,Text
"large, huge, grand, the greater, size, very, inveterate (smoker), severe (damage), success [**On**]","大,ダイ,タイ","Kunyomi: おお,おおきい,おおいに = large, great, grand, mighty, immense, severe, heavy,very, much, greatly, exceedingly,heavy (rain), loud (voice), fullsize, lifesize",Guess the romaji equivalent of the Onyomi reading,Text
"sound, noise, pronunciation, tone [**On**]","音,オン,イン","Kunyomi: おと,ね = sound, noise, roar, fame, tone, note, voice, chirping",Guess the romaji equivalent of the Onyomi reading,Text
"man, male, baron,counter for sons [**On**]","男,ダン,ナン","Kunyomi: おとこ = man, male, fellow, adult, manhood, male servant, paramour",Guess the romaji equivalent of the Onyomi reading,Text
"woman, girl, daughter [**On**]","女,ジョ,ニョ,ニョウ","Kunyomi: おんな,め = woman, female, sweetheart, girl",Guess the romaji equivalent of the Onyomi reading,Text
"gold, money, Friday [**On**]","金,キン,コン","Kunyomi: かね,かな = money, metal",Guess the romaji equivalent of the Onyomi reading,Text
"river, stream, brook [**On**]","川,セン","Kunyomi: かわ = river, stream, brook",Guess the romaji equivalent of the Onyomi reading,Text
"tree, Thursday [**On**]","木,ボク,モク","Kunyomi: き,こ = tree, wood, timber, lumber, wooden clappers",Guess the romaji equivalent of the Onyomi reading,Text
"grass, grass hand (writing), weeds, herbs, plants, pasture [**On**]","草,ソウ","Kunyomi: くさ = grass, grass hand (writing), weeds, herbs, plants, pasture",Guess the romaji equivalent of the Onyomi reading,Text
"mouth [**On**]","口,コウ,ク","Kunyomi: くち = mouth, lips, speech, words, one's taste, stopper, plug, nozzle, orifice, slit, aperture, door, gate, entrance, route, ascent, employment, job, call (for a doctor), share, kind, lot, brand, beginning, rumor, opening (of a boil)",Guess the romaji equivalent of the Onyomi reading,Text
"vehicle, a vehicle load [**On**]","車,シャ","Kunyomi: くるま = wheel, vehicle, carriage, wagon, cart, wheelbarrow, gocart, jinricksha, van, automobile",Guess the romaji equivalent of the Onyomi reading,Text
"viscount, master, child, male, fruit, seed,offspring, the young (of animals) [**On**]","子,シ,ス","Kunyomi: こ = child, offspring, the young (of animals)",Guess the romaji equivalent of the Onyomi reading,Text
"nine [**On**]","九,キュウ,ク","Kunyomi: ここの,ここのつ = nine",Guess the romaji equivalent of the Onyomi reading,Text
"the future, priority, precedence [**On**]","先,セン","Kunyomi: さき = point, tip, end, nozzle, head (of a line), the first priority, the future, objective, destination, sequel, remainder, the other party, future",Guess the romaji equivalent of the Onyomi reading,Text
"low class, inferiority, second, or last volume [**On**]","下,カ,ゲ","Kunyomi: した,しも,もと,さげる,さがる,くだる,くだす,くださる,おろす,おりる = come down, go down, get down, descend, be given, be less than, have diarrhea, retire, leave the capital, give, confer, oblige, favor with, let down, lower, issue (orders), hand down (decisions), have diarrhea, lay (hands) on, step down, get off, swoop down, land, take down, pull down, lift down, drop, launch, let off (passengers), wear (for the first time), cause (abortion), grate, invoke, exercise, borrow (in subtraction), lock, hang down, dangle, fall, abate, wane, stand back, go behind, be granted, hang, wear (a decoration), reduce (rank",Guess the romaji equivalent of the Onyomi reading,Text
"white [**On**]","白,ハク,ビャク","Kunyomi: しろ,しら,しろい = white, fair (skin), gray (hair), blank (paper), spotless, innocent,feigned ignorance",Guess the romaji equivalent of the Onyomi reading,Text
"air, sky, emptiness, vanity, unreality, hollow, void [**On**]","空,クウ","Kunyomi: そら,あく,あける,から = become empty, be less crowded, empty, sky, heavens, air, weather, memory, absentmindedness",Guess the romaji equivalent of the Onyomi reading,Text
"rice field, paddy field [**On**]","田,デン","Kunyomi: た = rice field, paddy field",Guess the romaji equivalent of the Onyomi reading,Text
"bamboo [**On**]","竹,チク","Kunyomi: たけ = bamboo, bamboo wind instrument",Guess the romaji equivalent of the Onyomi reading,Text
"right, righteousness, justice, original, plus, positive, genuine,just, punctual, senior,Regular [**On**]","正,セイ,ショウ","Kunyomi: ただしい,ただす,まさ = correct, adjust, reform, redress, straighten, amend,right, righteous, just, honest, truthful, proper, lawful, healthy, moral, straight, straightforward, perfect",Guess the romaji equivalent of the Onyomi reading,Text
"standing [**On**]","立,リツ,リュウ","Kunyomi: たつ,たてる = stand, rise, rouse oneself, be built, be established, go up (smoke), burn out, depart, take flight, run high (waves), stick into, be worked out, be maintained, save (face), establish oneself, begin life, spread (rumors), shut (door), be active, open (markets), be excited, come (seasons), makes (a total of thirty),stand something up, set up, raise, put up, set on edge, prick up (one's ears), build, erect, close (a door), establish, institute, enact, lay (plans), map out, set forth, lay down (a proposition), formulate, render (services), perform, look up to, respect, be lo",Guess the romaji equivalent of the Onyomi reading,Text
"gem, jewel, precious stone, jade [**On**]","玉,ギョク","Kunyomi: たま = ball, bowl, sphere, bulb, lens, gem, jewel, bullet, shot, shell, billiards, tool, cat’s paw, pretty girl, person, margin (in stocks), testicles",Guess the romaji equivalent of the Onyomi reading,Text
"thousand, many [**On**]","千,セン","Kunyomi: ち = thousand, many",Guess the romaji equivalent of the Onyomi reading,Text
"smallness, minor, small,humility prefix, small [**On**]","小,ショウ","Kunyomi: ちいさい,こ,お = small, little, diminutive, minute, fine, trivial,short, pretty, petty, nearly,nice",Guess the romaji equivalent of the Onyomi reading,Text
"strain, bear up, exert one's strength, swagger, bluff, boast,strength,power [**On**]","力,リョク,リキ","Kunyomi: ちから = strength, energy, force, might, power, agency, authority, influence, vigor, stress, emphasis, exertions, endeavors, efficacy, help, support, good offices, ability, faculty, capability, attainment, means, resources",Guess the romaji equivalent of the Onyomi reading,Text
"moon, month, Monday, month (of the year) [**On**]","月,ゲツ,ガツ","Kunyomi: つき = moon, month",Guess the romaji equivalent of the Onyomi reading,Text
"earth, ground, Saturday, Turkey [**On**]","土,ド,ト","Kunyomi: つち = earth, soil, ground",Guess the romaji equivalent of the Onyomi reading,Text
"hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury [**On**]","手,シュ","Kunyomi: て,た = hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury",Guess the romaji equivalent of the Onyomi reading,Text
"born of, appearing from, going out, sending out [**On**]","出,シュツ,スイ","Kunyomi: でる,だす = appear, come out, emerge, haunt, infest, be found, get back, be served (meals), lead to, enter, find (oneself) at, come out (as a result), leave, go out, get out, attend, appear, work (at), participate, launch (into), run (for an office), be published, sell, depart, graduate, break out, originate, be raised, be produced, issue from, be traced to, derive from, stem from, protrude, stick out, exceed, interfere, intrude,put out, take out, pull out, stick out, draw (a gun), stretch out, extend, save (from a fire), expose, bare, exhibit, send, forward, post, publish, hoist (a ",Guess the romaji equivalent of the Onyomi reading,Text
"ten [**On**]","十,ジュウ,ジッ","Kunyomi: とお,と = ten",Guess the romaji equivalent of the Onyomi reading,Text
"year, term of service [**On**]","年,ネン","Kunyomi: とし = year, age, time of life",Guess the romaji equivalent of the Onyomi reading,Text
"distinguished, noted, wise, name [**On**]","名,メイ,ミョウ","Kunyomi: な = name, fame, reputation, pretext",Guess the romaji equivalent of the Onyomi reading,Text
