Question,Answer,Comment,Instruction,Render as
"刈,||かる||","cut, clip, shear, reap, trim, prune","",Guess the meaning of the Kunyomi reading,Text
"是,||ゼ||","right, justice","",Guess the meaning of the Onyomi reading,Text
"普,||フ||","widely, generally","",Guess the meaning of the Onyomi reading,Text
"朱,||シュ||","cinnabar, vermilion","",Guess the meaning of the Onyomi reading,Text
"欄,||ラン||","column (in a newspaper), blank, space, railing","",Guess the meaning of the Onyomi reading,Text
"歓,||カン||","joy, pleasure","",Guess the meaning of the Onyomi reading,Text
"歳,||サイ,セイ||","year, age, time, occasion, opportunity, limit, vicinity","",Guess the meaning of the Onyomi reading,Text
"況,||キョウ||","still more, still less (neg.)","",Guess the meaning of the Onyomi reading,Text
"漫,||マン||","involuntarily, in spite of oneself","",Guess the meaning of the Onyomi reading,Text
"為,||イ||","change, be of use, reach to","",Guess the meaning of the Onyomi reading,Text
"烈,||レツ||","violent, vehement, furious, severe, acute, intense, extreme, passionate, heated, stormy (applause), tempestuous (temperament), mighty","",Guess the meaning of the Onyomi reading,Text
"燥,||ソウ||","dry up","",Guess the meaning of the Onyomi reading,Text
"爆,||バク||","burst open, pop, split","",Guess the meaning of the Onyomi reading,Text
"猛,||モウ||","wildness, fierceness, strength","",Guess the meaning of the Onyomi reading,Text
"玄,||ゲン||","occultness, mystery, black","",Guess the meaning of the Onyomi reading,Text
"環,||カン||","ring","",Guess the meaning of the Onyomi reading,Text
"療,||リョウ||","heal, cure","",Guess the meaning of the Onyomi reading,Text
"盆,||ボン||","Lantern Festival, Festivals of the Dead, tray","",Guess the meaning of the Onyomi reading,Text
"監,||カン||","office, government office, director, head official","",Guess the meaning of the Onyomi reading,Text
"盤,||バン||","shallow bowl, platter, tray, tub, board, phonograph record","",Guess the meaning of the Onyomi reading,Text
"砲,||ホウ||","gun, cannon, battery, gunnery, ordnance, artillery","",Guess the meaning of the Onyomi reading,Text
"称,||ショウ||","name, title, fame, praise","",Guess the meaning of the Onyomi reading,Text
"稿,||コウ||","copy, manuscript, draft, crest (of waves)","",Guess the meaning of the Onyomi reading,Text
"箇,||カ||","counters for things","",Guess the meaning of the Onyomi reading,Text
"範,||ハン||","example, model, pattern, limit","",Guess the meaning of the Onyomi reading,Text
"紋,||モン||","crest, (textile) figures","",Guess the meaning of the Onyomi reading,Text
"紹,||ショウ||","inherit, help","",Guess the meaning of the Onyomi reading,Text
"維,||イ||","tie, rope","",Guess the meaning of the Onyomi reading,Text
"緯,||イ||","woof, horizontal, left and right, parallels of latitude, latitude","",Guess the meaning of the Onyomi reading,Text
"繁,||ハン||","frequency, complexity, trouble","",Guess the meaning of the Onyomi reading,Text
"罰,||バツ,バチ||","punishment, penalty","",Guess the meaning of the Onyomi reading,Text
"肪,||ボウ||","fat","",Guess the meaning of the Onyomi reading,Text
"胴,||ドウ||","torso, trunk (of a body), body armor, body (of a suit), drum (of a machine), barrel (of a horse), cylinder (of a drum), bulge (of a bucket), hull (of a ship), hub (of a wheel)","",Guess the meaning of the Onyomi reading,Text
"膚,||フ||","skin, body, grain, texture, disposition","",Guess the meaning of the Onyomi reading,Text
"到,||トウ||","go, proceed, come, arrive, reach, attain, result in, lead to","",Guess the meaning of the Onyomi reading,Text
"舗,||ホ||","shop, store","",Guess the meaning of the Onyomi reading,Text
"般,||ハン||","carry, all","",Guess the meaning of the Onyomi reading,Text
"菓,||カ||","cakes, fruit","",Guess the meaning of the Onyomi reading,Text
"豪,||ゴウ||","great, powerful, excelling","",Guess the meaning of the Onyomi reading,Text
"販,||ハン||","sell, trade","",Guess the meaning of the Onyomi reading,Text
"賦,||フ||","ode, prose poem, poetical prose, tribute, exacted service, installment","",Guess the meaning of the Onyomi reading,Text
"距,||キョ||","be distant","",Guess the meaning of the Onyomi reading,Text
"較,||カク||","compare, balance, contrast","",Guess the meaning of the Onyomi reading,Text
"輩,||ハイ||","fellow, people, companion, line","",Guess the meaning of the Onyomi reading,Text
"途,||ト||","way, road","",Guess the meaning of the Onyomi reading,Text
"郎,||ロウ||","man, husband, counter for sons","",Guess the meaning of the Onyomi reading,Text
"釈,||シャク||","explanation","",Guess the meaning of the Onyomi reading,Text
"陣,||ジン||","battle array, ranks, camp, position","",Guess the meaning of the Onyomi reading,Text
"隷,||レイ||","servant, criminal, prisoner, follower","",Guess the meaning of the Onyomi reading,Text
"雅,||ガ||","elegance, refined taste","",Guess the meaning of the Onyomi reading,Text
"需,||ジュ||","request, need","",Guess the meaning of the Onyomi reading,Text
"項,||コウ||","clause, paragraph, item, term (in math), argument (in math or linguistics)","",Guess the meaning of the Onyomi reading,Text
"齢,||レイ||","age","",Guess the meaning of the Onyomi reading,Text
"仰,||ギョウ,コウ||","look up, look up to, ask for, depend on, seek, respect, revere, drink, take","Kunyomi: あおぐ,おおせ = look up, look up to, ask for, depend on, seek, respect, revere, drink, take, statement, command, wishes (of a superior)",Guess the meaning of the Onyomi reading,Text
"鮮,||セン||","Korea","Kunyomi: あざやか = vivid, clear, brilliant, fresh, graceful, splendid, beautiful",Guess the meaning of the Onyomi reading,Text
"脚,||キャク,キャ||","leg, skid, undercarriage","Kunyomi: あし = foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage",Guess the meaning of the Onyomi reading,Text
"汗,||カン||","be sweaty","Kunyomi: あせ = perspiration",Guess the meaning of the Onyomi reading,Text
"与,||ヨ||","give, award, impart, provide, allot, cause (pain or damage)","Kunyomi: あたえる = give, award, impart, provide, allot, cause (pain or damage)",Guess the meaning of the Onyomi reading,Text
"跡,||セキ||","mark, print, impression, trace, track, trail, wake, marks, traces, evidence, scar, ruins, precedent","Kunyomi: あと = mark, print, impression, trace, track, trail, wake, marks, traces, evidence, scar, ruins, precedent",Guess the meaning of the Onyomi reading,Text
"脂,||シ||","fat, rouge","Kunyomi: あぶら = fat, grease, tallow, blubber, lard, suet",Guess the meaning of the Onyomi reading,Text
"甘,||カン||","presume upon, take advantage of, coax","Kunyomi: あまい,あまえる,あまやかす = presume upon, take advantage of, coax, pamper, be indulgent, coddle, sweet, honeyed (words), lenient, halfwitted, easygoing, soft, mild, loose, trashy, sentimental",Guess the meaning of the Onyomi reading,Text
"網,||モウ||","net, network","Kunyomi: あみ = net, netting",Guess the meaning of the Onyomi reading,Text
"荒,||コウ||","rough, rude, wild, harsh, violent, gruff, fierce","Kunyomi: あらい,あれる,あらす = rough, rude, wild, harsh, violent, gruff, fierce,be ruined, become stormy, tear around, get chapped,lay waste",Guess the meaning of the Onyomi reading,Text
"淡,||タン||","light, faint, pale, fleeting, a little","Kunyomi: あわい = light, faint, pale, fleeting, a little",Guess the meaning of the Onyomi reading,Text
"怒,||ド||","become angry, be offended, become excited","Kunyomi: いかる,おこる = become angry, be offended, become excited",Guess the meaning of the Onyomi reading,Text
"幾,||キ||","how many, how much, how far, how long, so much per, however(difficult)","Kunyomi: いく = some, several, many, how many, how much",Guess the meaning of the Onyomi reading,Text
"忙,||ボウ||","busy, occupied","Kunyomi: いそがしい = busy, occupied",Guess the meaning of the Onyomi reading,Text
"致,||チ||","do, send, forward, incur, cause, render (assistance), exert (oneself), engage, call in (a doctor)","Kunyomi: いたす = do, send, forward, incur, cause, render (assistance), exert (oneself), engage, call in (a doctor)",Guess the meaning of the Onyomi reading,Text
"稲,||トウ||","rice plant","Kunyomi: いね,いな = rice plant",Guess the meaning of the Onyomi reading,Text
"祈,||キ||","pray, wish","Kunyomi: いのる = pray, wish",Guess the meaning of the Onyomi reading,Text
"戒,||カイ||","commandment, admonition","Kunyomi: いましめる = admonish, warn, prohibit",Guess the meaning of the Onyomi reading,Text
"彩,||サイ||","color, paint, make up","Kunyomi: いろどる = color, paint, make up",Guess the meaning of the Onyomi reading,Text
"伺,||シ||","visit, ask, inquire, question, hear, be told, implore (a good for an oracle)","Kunyomi: うかがう = visit, ask, inquire, question, hear, be told, implore (a good for an oracle)",Guess the meaning of the Onyomi reading,Text
"浮,||フ||","float, be floated, rise to the surface, be cheered up, be set on edge, feel loose (teeth), be left over, be saved","Kunyomi: うく,うかれる,うかぶ,うかべる = float, be floated, rise to the surface, be cheered up, be set on edge, feel loose (teeth), be left over, be saved,launch, sail (a toy ship), refloat, waft, express (feelings in the face), recall,surface, flit across (the face), occur to, play (about the lips, as a smile), rise in the world, rest in peace,be in high spirits, go on a spree",Guess the meaning of the Onyomi reading,Text
"薄,||ハク||","thin, weak (tea), light, pale, faint, scanty, ungenerous","Kunyomi: うすい,うすめる,うすまる,うすらぐ,うすれる = thin, weak (tea), light, pale, faint, scanty, ungenerous,dilute, weaken,thin out, fade, grow pale, be toned down, get dim, cool (emotions), abate, lessen, decline",Guess the meaning of the Onyomi reading,Text
"謡,||ヨウ||","chant","Kunyomi: うたい,うたう = chanting of the noh, chant, noh singer",Guess the meaning of the Onyomi reading,Text
"撃,||ゲキ||","attack, defeat, destroy, conquer","Kunyomi: うつ = strike, hit, beat, knock, slap, punch, thrash, smite, clap (one’s hands), beat (a drum), ring (a bell), (clocks) strike, impress, touch, shoot, pound in (a nail), water, sprinkle, braid, play (checkers), till (the soil), temper (a sword), prepare (buckwheat noodles), present (a play), cast (a net), pay (earnest money)",Guess the meaning of the Onyomi reading,Text
"訴,||ソ||","sue, complain of (pain), appeal to, have recourse to","Kunyomi: うったえる = sue, complain of (pain), appeal to, have recourse to",Guess the meaning of the Onyomi reading,Text
"腕,||ワン||","arm","Kunyomi: うで = arm, ability, talent",Guess the meaning of the Onyomi reading,Text
"麗,||レイ||","beautiful, bright and clear, fine, serene","Kunyomi: うるわしい = beautiful, lovely, graceful",Guess the meaning of the Onyomi reading,Text
"描,||ビョウ||","write, compose, draw, paint","Kunyomi: えがく,かく = write, compose, draw, paint,sketch, describe",Guess the meaning of the Onyomi reading,Text
"偉,||イ||","greatness","Kunyomi: えらい = great, famous, excellent, remarkable",Guess the meaning of the Onyomi reading,Text
"獲,||カク||","get, acquire, find, earn, win, gain, receive, can, be able to, may, commit (sin)","Kunyomi: える = get, acquire, find, earn, win, gain, receive, can, be able to, may, commit (sin)",Guess the meaning of the Onyomi reading,Text
"尾,||ビ||","tail, end, counter for fish","Kunyomi: お = tail, trail (of a meteor), lower slope (of a mountain)",Guess the meaning of the Onyomi reading,Text
"雄,||ユウ||","male, hero, great leader, superiority, excellence","Kunyomi: お,おす = male",Guess the meaning of the Onyomi reading,Text
"扇,||セン||","fan","Kunyomi: おうぎ = folding fan",Guess the meaning of the Onyomi reading,Text
"丘,||キュウ||","hill, knoll, rising ground","Kunyomi: おか = hill, knoll, rising ground",Guess the meaning of the Onyomi reading,Text
"侵,||シン||","invate, raid, violate, trespass, intrude on","Kunyomi: おかす = invate, raid, violate, trespass, intrude on",Guess the meaning of the Onyomi reading,Text
"冒,||ボウ||","risk, face, defy, dare, (diseases) attack, damage, desecrate, assume (a name)","Kunyomi: おかす = risk, face, defy, dare, (diseases) attack, damage, desecrate, assume (a name)",Guess the meaning of the Onyomi reading,Text
"奥,||オウ||","heart, interior","Kunyomi: おく = heart, interior",Guess the meaning of the Onyomi reading,Text
"贈,||ゾウ,ソウ||","present (something)","Kunyomi: おくる = send, give to, award to, confer on",Guess the meaning of the Onyomi reading,Text
"遅,||チ||","be late, be delayed, be overdue, lag behind, (clocks) lose","Kunyomi: おくれる,おくらす,おそい = be late, be delayed, be overdue, lag behind, (clocks) lose,retard, delay, defer,late, slow",Guess the meaning of the Onyomi reading,Text
"押,||オウ||","push, shove, press, squash, compress, stamp, seal, do in spite of","Kunyomi: おす,おさえる = push, shove, press, squash, compress, stamp, seal, do in spite of, stop, check, restrain, pin down, suppress, subdue, control, catch, arrest, govern, stop (the ears), withhold, attach, seize, secure (evidence), estimate conservatively",Guess the meaning of the Onyomi reading,Text
"襲,||シュウ||","attack","Kunyomi: おそう = attack, advance on, succeed to, call unexpectedly",Guess the meaning of the Onyomi reading,Text
"恐,||キョウ||","fear, dread, be afraid, be overawed, be apprehensive","Kunyomi: おそれる,おそろしい = fear, dread, be afraid, be overawed, be apprehensive, terrible, awful, fierce, tremendous, marvelous",Guess the meaning of the Onyomi reading,Text
"劣,||レツ||","be inferior to, be worse than","Kunyomi: おとる = be inferior to, be worse than",Guess the meaning of the Onyomi reading,Text
"躍,||ヤク||","dance, leap, skip, throb (the heart), act as a cat'spaw, double (the interest on a debt)","Kunyomi: おどる = dance, leap, skip, throb (the heart), act as a cat'spaw, double (the interest on a debt)",Guess the meaning of the Onyomi reading,Text
"踊,||ヨウ||","dance, leap, skip, throb (the heart), act as a cat'spaw, double (the interest on a debt)","Kunyomi: おどる,おどり = dance, leap, skip, throb (the heart), act as a cat'spaw, double (the interest on a debt),dancing, step",Guess the meaning of the Onyomi reading,Text
"驚,||キョウ||","be surprised, be frightened, be taken aback, be appalled, be amazed","Kunyomi: おどろく,おどろかす = be surprised, be frightened, be taken aback, be appalled, be amazed, surprise, frighten, create a stir",Guess the meaning of the Onyomi reading,Text
"鬼,||キ||","devil, demon, spirits of the dead","Kunyomi: おに = devil, demon, ghost, spirits of the dead, fiend, creditor, the one who is 'it' (in games)",Guess the meaning of the Onyomi reading,Text
"趣,||シュ||","proceed to, become, tend toward","Kunyomi: おもむき = import, meaning, contents,tenor, gist, tone, touch, sentiment, charm, aspect, appearance",Guess the meaning of the Onyomi reading,Text
"及,||キュウ||","exert, exercise, cause","Kunyomi: およぶ,および,およぼす = exert, exercise, cause, reach, come up to, amount to, befall, happen to, extend, match, equal, and, as well as",Guess the meaning of the Onyomi reading,Text
"御,||ギョ,ゴ||","imperial honorary prefix, honorific prefix","Kunyomi: おん = honorific prefixes",Guess the meaning of the Onyomi reading,Text
"替,||タイ||","change, turn, convert, exchange, renew, substitute, replace","Kunyomi: かえる,かわる = change, turn, convert, exchange, renew, substitute, replace,relieve",Guess the meaning of the Onyomi reading,Text
"輝,||キ||","shine, sparkle, gleam, twinkle, brilliant, radiant, bright","Kunyomi: かがやく = shine, sparkle, gleam, twinkle, brilliant, radiant, bright",Guess the meaning of the Onyomi reading,Text
"隠,||イン||","hide, conceal, cover, veil, cloak, disguise","Kunyomi: かくす,かくれる = hide, conceal, cover, veil, cloak, disguise, disappear, pass away, be anonymous, lurk",Guess the meaning of the Onyomi reading,Text
"影,||エイ||","shadow","Kunyomi: かげ = light, shadow, silhouette, phantom, reflection, figure, trace",Guess the meaning of the Onyomi reading,Text
"陰,||イン||","the yin principle, negative, melancholy, north side of a mountain, sex organs, secret, shadow, south side of a river, negative electrode, earth, bottom, back, inactivity, nighttime, moon","Kunyomi: かげ,かげる = darken, cloud up, be obscured, shade, back, (your) assistance",Guess the meaning of the Onyomi reading,Text
"駆,||ク||","run, gallop, advance","Kunyomi: かける,かる = run, gallop, advance, drive (a car), spur on, prompt, actuate, inspire, sway, impel",Guess the meaning of the Onyomi reading,Text
"飾,||ショク||","ornament, decorate, adorn, embellish, exhibit, be ostentatious, whitewash","Kunyomi: かざる = ornament, decorate, adorn, embellish, exhibit, be ostentatious, whitewash",Guess the meaning of the Onyomi reading,Text
"肩,||ケン||","shoulder","Kunyomi: かた = shoulder",Guess the meaning of the Onyomi reading,Text
"堅,||ケン||","hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn","Kunyomi: かたい = hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn",Guess the meaning of the Onyomi reading,Text
"傾,||ケイ||","lean, incline, tilt, list, tip, careen, lurch","Kunyomi: かたむく,かたむける = incline toward, tilt, slant, slope, lurch, heel over, be disposed to, trend toward, be prone to, go down (sun), wane, sink, decline, incline, list, bend, lean, tip, concentrate on, devote to, ruin, squander, empty",Guess the meaning of the Onyomi reading,Text
"傍,||ボウ||","side, besides, while","Kunyomi: かたわら = side, besides, while",Guess the meaning of the Onyomi reading,Text
"兼,||ケン||","and, in addition, concurrently","Kunyomi: かねる = combine with, serve as both, hold an additional post, use with",Guess the meaning of the Onyomi reading,Text
"壁,||ヘキ||","wall, lining (of the stomach), fence, partition","Kunyomi: かべ = wall",Guess the meaning of the Onyomi reading,Text
"髪,||ハツ||","the hair","Kunyomi: かみ = the hair",Guess the meaning of the Onyomi reading,Text
"雷,||ライ||","thunder","Kunyomi: かみなり = thunder",Guess the meaning of the Onyomi reading,Text
"唐,||トウ||","Tang (dynasty), China, foreign countries,Chinese, Korean, Foreign","Kunyomi: から = China, Cathay, Korea, Foreign countries,Chinese, Korean, Foreign",Guess the meaning of the Onyomi reading,Text
"柄,||ヘイ||","handle, crank, grip, hilt, shaft, knob, spoke (of steering wheel on a ship)","Kunyomi: がら,え = handle, crank, grip, hilt, shaft, knob, spoke (of steering wheel on a ship),pattern, design, build, character, nature",Guess the meaning of the Onyomi reading,Text
"絡,||ラク||","coil around, get twisted, stick to, pick a quarrel","Kunyomi: からむ,からまる,からめる = coil around, get twisted, stick to, pick a quarrel,twine around,get caught in, be urged on by",Guess the meaning of the Onyomi reading,Text
"狩,||シュ||","hunt","Kunyomi: かる,かり = hunt,hunting, raiding, gathering (mushrooms), viewing (maples)",Guess the meaning of the Onyomi reading,Text
"彼,||ヒ||","he, that","Kunyomi: かれ,かの = he,that, the",Guess the meaning of the Onyomi reading,Text
"枯,||コ||","wither, die, be dead, age, be seasoned, fog up","Kunyomi: かれる,からす = wither, die, be dead, age, be seasoned, fog up,kill (vegetation), let dry, season (lumber)",Guess the meaning of the Onyomi reading,Text
"乾,||カン||","heaven, emperor","Kunyomi: かわく,かわかす = dry, dry up, be dry, desiccate",Guess the meaning of the Onyomi reading,Text
"鑑,||カン||","take warning from, learn a lesson from","Kunyomi: かんがみる = take warning from, learn a lesson from",Guess the meaning of the Onyomi reading,Text
"霧,||ム||","mist, fog, spray","Kunyomi: きり = mist, fog, spray",Guess the meaning of the Onyomi reading,Text
"鎖,||サ||","chain, irons, connection","Kunyomi: くさり = chain, irons, connection",Guess the meaning of the Onyomi reading,Text
"腐,||フ||","rot, decay, turn sour, fester, corrode, be corrupted, feel gloomy","Kunyomi: くさる,くされる,くさらす = rot, decay, turn sour, fester, corrode, be corrupted, feel gloomy,let spoil, rot, corrode, addle",Guess the meaning of the Onyomi reading,Text
"朽,||キュウ||","decay, rot, remain in seclusion","Kunyomi: くちる = decay, rot, remain in seclusion",Guess the meaning of the Onyomi reading,Text
"曇,||ドン||","cloud up, fog up, become dim, be blurred, be gloomy","Kunyomi: くもる = cloud up, fog up, become dim, be blurred, be gloomy",Guess the meaning of the Onyomi reading,Text
"狂,||キョウ||","lunatic","Kunyomi: くるう,くるおしい = go insane, lose one’s head, run amuck, rave, be madly in love, go haywire, break down, be upset, warp, fluctuate, miss the mark, (winds) howl",Guess the meaning of the Onyomi reading,Text
"詳,||ショウ||","full, detailed, minute, accurate, versed in, wellinformed on","Kunyomi: くわしい = full, detailed, minute, accurate, versed in, wellinformed on",Guess the meaning of the Onyomi reading,Text
"汚,||オ||","make dirty, stain, pollute, defile, contaminate, disgrace, dishonor, rape","Kunyomi: けがす,けがれる,けがらわしい,よごす,よごれる,きたない = make dirty, stain, pollute, defile, contaminate, disgrace, dishonor, rape, get dirty, be defiled, be contaminated, filthy, unfair, soil, debauch, be stained, tarnish, dirty, filthy, unclean, soiled, shabby, indecent, obscene, base, sordid, stingy, foul",Guess the meaning of the Onyomi reading,Text
"煙,||エン||","smoke","Kunyomi: けむる,けむり,けむい = smoke, smolder, be smoky, smoky, fumes, spray",Guess the meaning of the Onyomi reading,Text
"獣,||ジュウ||","animal, beast","Kunyomi: けもの = animal, beast",Guess the meaning of the Onyomi reading,Text
"濃,||ノウ||","dark, thick, undiluted","Kunyomi: こい = dark, deep, saturated, strong (drink), intimate, thick",Guess the meaning of the Onyomi reading,Text
"恋,||レン||","be in love","Kunyomi: こう,こい,こいしい = be in love,love, tender sentiment,dear, beloved, darling",Guess the meaning of the Onyomi reading,Text
"被,||ヒ||","receiving","Kunyomi: こうむる = get, receive, sustain (an injury), be subjected to (criticism)",Guess the meaning of the Onyomi reading,Text
"腰,||ヨウ||","hips, waist, loins, pelvic region, small of the back, haunch, lowerpanel wainscoting (lower wall only), stem (of a wine glass)","Kunyomi: こし = hips, waist, loins, pelvic region, small of the back, haunch, lowerpanel wainscoting (lower wall only), stem (of a wine glass)",Guess the meaning of the Onyomi reading,Text
"越,||エツ||","cross, pass, spend, tide over, outrun, exceed, surpass, move, go, come","Kunyomi: こす,こえる = cross, pass, spend, tide over, outrun, exceed, surpass, move, go, come, go beyond, exceed, clear (an obstacle), overstep (authority)",Guess the meaning of the Onyomi reading,Text
"暦,||レキ||","calendar, almanac","Kunyomi: こよみ = calendar, almanac",Guess the meaning of the Onyomi reading,Text
"怖,||フ||","fear, be frightened, be timid, get nervous","Kunyomi: こわい = fearful, frightful, terrible, weird",Guess the meaning of the Onyomi reading,Text
"壊,||カイ||","break","Kunyomi: こわす,こわれる = break, destroy, tear up, crack, smack, mar, be broken, be demolished, fall into ruin",Guess the meaning of the Onyomi reading,Text
"杯,||ハイ||","cup, glass, toast, congratulatory cup, counter for cupfuls","Kunyomi: さかずき = wine glass, sake cup, chalice, cup",Guess the meaning of the Onyomi reading,Text
"叫,||キョウ||","shout, exclaim, cry, yell, roar, howl, cry for, clamor for, advocate","Kunyomi: さけぶ = shout, exclaim, cry, yell, roar, howl, cry for, clamor for, advocate",Guess the meaning of the Onyomi reading,Text
"避,||ヒ||","avoid, avert, ward off, keep aloof from, stay away from, evade, shirk, shun","Kunyomi: さける = avoid, avert, ward off, keep aloof from, stay away from, evade, shirk, shun",Guess the meaning of the Onyomi reading,Text
"刺,||シ||","calling card","Kunyomi: さす,ささる = pierce, thrust, stab, prick, bite, sting, pin down, sew, stitch, put (a runner) out, pole (a boat), stick,be stuck",Guess the meaning of the Onyomi reading,Text
"寂,||ジャク,セキ||","quietly, death of a priest","Kunyomi: さび,さびしい,さびれる = patina, antique look, elegant simplicity, trained recite's voice,lonely, lonesome, solitary, deserted, desolate",Guess the meaning of the Onyomi reading,Text
"更,||コウ||","a watch of the night","Kunyomi: さら,ふける,ふかす = sit up late,get late, grow old, reach the height of the season,again, after all, more and more",Guess the meaning of the Onyomi reading,Text
"沢,||タク||","swamp, blessing","Kunyomi: さわ = swamp, marsh, dale, valley",Guess the meaning of the Onyomi reading,Text
"騒,||ソウ||","make a noise, be boisterous, shout, clamor, raise an uproar, be excited, be agitated, bustle around, make a fuss about, make merry, go on a spree","Kunyomi: さわぐ = make a noise, be boisterous, shout, clamor, raise an uproar, be excited, be agitated, bustle around, make a fuss about, make merry, go on a spree",Guess the meaning of the Onyomi reading,Text
"敷,||フ||","spread, pave, sit (on a cushion), lay (a railway), gravel (a road), promulgate, draw up","Kunyomi: しく = spread, pave, sit (on a cushion), lay (a railway), gravel (a road), promulgate, draw up",Guess the meaning of the Onyomi reading,Text
"茂,||モ||","grow thick, be overgrown, be luxuriant","Kunyomi: しげる = grow thick, be overgrown, be luxuriant",Guess the meaning of the Onyomi reading,Text
"滴,||テキ||","drop","Kunyomi: しずく,したたる = drop,drip, trickle",Guess the meaning of the Onyomi reading,Text
"沈,||チン||","aloes","Kunyomi: しずむ,しずめる = sink, be submerged, subside, cave in, feel depressed, be overcome with,submerge, immerse",Guess the meaning of the Onyomi reading,Text
"占,||セン||","occupy, hold, have, get, take (a seat)","Kunyomi: しめる,うらなう = occupy, hold, have, get, take (a seat),divine, forecast, augur",Guess the meaning of the Onyomi reading,Text
"透,||トウ||","permeate, penetrate","Kunyomi: すく,すかす,すける = be transparent, be seen through, be thin, leave a gap,leave a space, thin (trees), make transparent, look through",Guess the meaning of the Onyomi reading,Text
"勧,||カン||","recommend, advise, encourage, offer (wine)","Kunyomi: すすめる = recommend, advise, encourage, offer (wine)",Guess the meaning of the Onyomi reading,Text
"澄,||チョウ||","be clear, become clear, clarify","Kunyomi: すむ,すます = be clear, become clear, clarify,clear, settle, strain (one's ears), look grave",Guess the meaning of the Onyomi reading,Text
"鋭,||エイ||","sharpness, edge, (sharp) weapon, picked men (soldiers), the pick","Kunyomi: するどい = pointed, sharp, violent, scathing, keen (sense), sharp (ear), penetrating (eye), shrewd",Guess the meaning of the Onyomi reading,Text
"狭,||キョウ||","narrow, contract, reduce","Kunyomi: せまい,せばめる,せばまる = narrow, contract, reduce, become narrow, contract, small (area), limited, tight",Guess the meaning of the Onyomi reading,Text
"迫,||ハク||","press for, urge, force, spur on, approach, gain on, close in on, be on the verge of, be imminent","Kunyomi: せまる = press for, urge, force, spur on, approach, gain on, close in on, be on the verge of, be imminent",Guess the meaning of the Onyomi reading,Text
"攻,||コウ||","attack, assault","Kunyomi: せめる = attack, offensive",Guess the meaning of the Onyomi reading,Text
"添,||テン||","accompany, marry, be added to, suit, meet, satisfy, be adjusted to","Kunyomi: そえる,そう = accompany, marry, be added to, suit, meet, satisfy, be adjusted to,add to, attach, append, accompany, garnish, imitate",Guess the meaning of the Onyomi reading,Text
"耐,||タイ||","enduring","Kunyomi: たえる = endure, support, withstand, resist, brave, weather, be fit for, be equal to",Guess the meaning of the Onyomi reading,Text
"倒,||トウ||","fall, collapse, drop, break down, die, succumb to, fall senseless, be ruined, have a bad debt","Kunyomi: たおれる,たおす = fall, collapse, drop, break down, die, succumb to, fall senseless, be ruined, have a bad debt,bring down, throw down, blow down, fell, knock down, trip up, defeat, ruin, overthrow, kill, leave unpaid, cheat",Guess the meaning of the Onyomi reading,Text
"互,||ゴ||","mutually, reciprocally, together","Kunyomi: たがい = mutually, reciprocally, together",Guess the meaning of the Onyomi reading,Text
"薪,||シン||","firewood","Kunyomi: たきぎ = firewood, kindling, fuel",Guess the meaning of the Onyomi reading,Text
"抱,||ホウ||","hug, embrace, hold in the arms, sit (on eggs)","Kunyomi: だく,いだく,かかえる = hug, embrace, hold in the arms, sit (on eggs),entertain (hope), cherish (a desire), harbor (malice), hold, have,hold or carry under or in the arms",Guess the meaning of the Onyomi reading,Text
"蓄,||チク||","store, hoard, savings","Kunyomi: たくわえる = store, lay in stock, save, wear (a mustache)",Guess the meaning of the Onyomi reading,Text
"丈,||ジョウ||","10 feet, length, measure, Mr,or Mrs,(re: artists)","Kunyomi: たけ = height, stature, length, measure",Guess the meaning of the Onyomi reading,Text
"尋,||ジン||","fathom","Kunyomi: たずねる = look for, inquire for, ask (someone) a question",Guess the meaning of the Onyomi reading,Text
"闘,||トウ||","fighting","Kunyomi: たたかう = wage war, fight, engage in a contest, struggle against",Guess the meaning of the Onyomi reading,Text
"畳,||ジョウ||","mat counter","Kunyomi: たたむ,たたみ = fold, fold up, furl, shut up, shut, wind up (affairs), do away with, kill, bear in mind,folding, collapsible",Guess the meaning of the Onyomi reading,Text
"盾,||ジュン||","shield, buckler, escutcheon, pretext","Kunyomi: たて = shield, buckler, escutcheon, pretext",Guess the meaning of the Onyomi reading,Text
"頼,||ライ||","ask, request, entreat, appeal, entrust to, commission, employ, call in, depend on, have recourse to, trust in","Kunyomi: たのむ,たのもしい,たよる = ask, request, entreat, appeal, entrust to, commission, employ, call in, depend on, have recourse to, trust in,rely on, have recourse to,reliable, trustworthy, hopeful",Guess the meaning of the Onyomi reading,Text
"黙,||モク||","keeping silence","Kunyomi: だまる = become silent, stop speaking, say nothing",Guess the meaning of the Onyomi reading,Text
"戯,||ギ||","play, sport, frolic, joke, flirt with","Kunyomi: たわむれる = play, sport, frolic, joke, flirt with",Guess the meaning of the Onyomi reading,Text
